hue,twelve,fourteen
red,0.22066011707846583,0.2674318690905836
orange,0.2913839854922637,0.25883098676648264
yellow,0.08449044160722285,0.06427342140623571
green,0.10992340147834177,0.09361949196837203
cyan,0.06128258640890451,0.0559308878156917
blue,0.18060527154622832,0.1937829560135742
purple,0.017205322374995693,0.02340956077153255
magenta,0.03444887401357731,0.04272082616752759
