city,hue10,hue30,hue50,hue70,hue90,sat10,sat30,sat50,sat70,sat90,val10,val30,val50,val70,val90,year
Luanda,0.012987012987012988,0.06493506493506493,0.12987012987012986,0.5324675324675324,0.6753246753246753,0.02275268024829253,0.12290918541229645,0.2713804444350154,0.4787432642751466,0.7236042117819136,0.11407649479544905,0.33633898003645896,0.5427499394819656,0.6861060049019608,0.9150392156862744,2012
Luanda,0.0,0.035502958579881665,0.1124260355029586,0.5088757396449705,0.8224852071005917,0.0,0.05901913858899212,0.21284073555522606,0.4064245591268934,0.7052891148480379,0.14375695957395304,0.40053740014524325,0.6450254175744372,0.8379351246671507,0.9595739195332111,2014
Khartoum,0.0,0.05263157894736842,0.15789473684210525,0.5789473684210527,0.8947368421052632,0.01196931313870188,0.10957978484009374,0.2236668211137282,0.3554369115458891,0.5354844657260736,0.12648269184216895,0.2700919874122488,0.5699951585572501,0.7753171856978085,0.9287197231833908,2012
Khartoum,0.0,0.08235294117647059,0.16470588235294115,0.4235294117647059,0.6823529411764706,0.0017113473446169552,0.1086938634569464,0.2640497266131046,0.4561585717329145,0.7484515804927128,0.11049753234627184,0.3670669651943823,0.5741024387594371,0.7640098039215687,0.949101024492842,2014
Dhaka,0.016129032258064516,0.08064516129032258,0.16129032258064516,0.5241935483870968,0.7016129032258065,0.01979957140315523,0.12064764309381132,0.23704598514083985,0.39843605376477964,0.6297597593841288,0.1461655773420479,0.32178649237472756,0.5074195110142823,0.6938218147697373,0.9413813025210084,2012
Dhaka,0.008849557522123894,0.07964601769911504,0.16371681415929204,0.5442477876106194,0.7300884955752213,0.017962658482540222,0.13298012370881931,0.2769529828071509,0.45974327164466877,0.7472700329459312,0.11766840069361077,0.34354660679150556,0.5402944568830993,0.7328782377148391,0.9387056449747233,2014
Dar es Salaam,0.02631578947368421,0.09210526315789473,0.25,0.5921052631578947,0.8815789473684211,0.037264343219013396,0.12810788580845522,0.2514190112617112,0.3814936397960812,0.6486970222025283,0.13835981143707005,0.32624667150810943,0.5285826676349552,0.695037521181312,0.9008714596949894,2012
Dar es Salaam,0.0,0.07973421926910297,0.19269102990033224,0.5481727574750831,0.7873754152823921,0.01308858614310847,0.12612606139419713,0.2691763208322509,0.4523746672955301,0.7351034927495136,0.1300169450496248,0.3624183006535948,0.5530834556044639,0.7393038876450234,0.9442265795206972,2014
Ho Chi Minh City,0.036764705882352935,0.09558823529411764,0.19117647058823528,0.4779411764705882,0.7058823529411765,0.04551875549438371,0.15874523994189887,0.26776982960190754,0.452251288339149,0.7626594098005011,0.13828370854514643,0.3218143432348376,0.4837932703945776,0.6781166787702735,0.9107480029048658,2012
Ho Chi Minh City,0.022727272727272728,0.09090909090909093,0.2083333333333333,0.5909090909090909,0.7992424242424242,0.02653663258966956,0.13223037313181812,0.25903660758245883,0.4267187179423433,0.7151191094741783,0.12382428526966341,0.3523388614705141,0.5607095924789669,0.7532756950098379,0.9440647714679875,2014
Damascus,0.008928571428571428,0.08035714285714286,0.15178571428571427,0.5178571428571429,0.6607142857142857,0.021675874297708373,0.1143488262126674,0.2398419824277841,0.3732095870495674,0.5798427457384878,0.08230452674897118,0.2630839990317114,0.4291091745340112,0.6564754296780441,0.9167755991285402,2012
Damascus,0.0,0.08118081180811808,0.16605166051660514,0.5313653136531366,0.7601476014760148,0.009479112401677007,0.12647624400499768,0.2794337147109173,0.4611951191098982,0.7738083054373447,0.11365165819414187,0.363719922417256,0.590217140297103,0.779454829339143,0.9513930145089056,2014
Beijing,0.018433179723502304,0.08294930875576037,0.1382488479262673,0.4884792626728111,0.7142857142857143,0.02747724140598924,0.13697313451776044,0.2728419393777554,0.4579437443737072,0.7505629760605474,0.1204248366013072,0.3216654563059792,0.49787581699346406,0.6931493585088356,0.9099685976317138,2012
Beijing,0.022304832713754646,0.08178438661710037,0.16356877323420074,0.5799256505576209,0.79182156133829,0.031002027146020072,0.14759667009702596,0.2843417624945648,0.4593739503788247,0.7416728303370195,0.12454455856416641,0.34536189784555793,0.544686327463084,0.7381626724763979,0.9282438725490196,2014
Karachi,0.02,0.07,0.125,0.53,0.73,0.030347261764438225,0.13619495148990976,0.254948462426996,0.43674974737947475,0.6803884814604673,0.15659584821582956,0.36887337361690836,0.5422536916000967,0.7416878793894421,0.9489891067538125,2012
Karachi,0.0,0.07799442896935932,0.16434540389972144,0.5487465181058496,0.7270194986072424,0.011765323732321281,0.1368008547491205,0.28856386532204337,0.47694162649098637,0.7667473687809322,0.13630361519607842,0.3694750249636892,0.5703086873638343,0.7604613610149941,0.9448537044575616,2014
Bucharest,0.01834862385321101,0.09174311926605504,0.1743119266055046,0.5321100917431193,0.6830275229357824,0.024614098516372834,0.1321950782085708,0.2668374291133136,0.4481335442989125,0.7373635333740794,0.10295854144126788,0.30621288192324214,0.4917332365044783,0.6806535947712419,0.910557029766497,2012
Bucharest,0.006329113924050633,0.0759493670886076,0.15822784810126586,0.569620253164557,0.7753164556962026,0.017403816616496048,0.13873716304575726,0.2888261752992525,0.4713978743279117,0.7732717754181198,0.10096828854998788,0.3168823084789472,0.5228274025659647,0.7214057941515707,0.9305252965383684,2014
Abidjan,0.031914893617021274,0.0851063829787234,0.1914893617021277,0.5319148936170213,0.7765957446808509,0.041441919507223646,0.15265256342152672,0.286061660086117,0.45241569837743884,0.7031406455933313,0.11769668361171629,0.3120934884270253,0.4779290728637135,0.6367029774872912,0.8606560154926167,2012
Abidjan,0.0,0.07028753993610222,0.15654952076677314,0.5559105431309904,0.792332268370607,0.0,0.10165196199990631,0.25472474080456114,0.4400075751191839,0.7234059347670431,0.13687588615693191,0.37860951788122654,0.5867344468651658,0.7843137254901961,0.968627450980392,2014
Phnom Penh,0.024242424242424294,0.08585858585858586,0.16161616161616166,0.43939393939393934,0.6666666666666665,0.031326412918108414,0.13832409739551033,0.2841706222475085,0.4611973832876761,0.7342035507973577,0.11625935726078204,0.32073347857661577,0.5096949891067538,0.6880959791323937,0.9098039215686275,2012
Phnom Penh,0.02298850574712644,0.08333333333333333,0.1925287356321839,0.5862068965517241,0.8160919540229885,0.030735324347962036,0.1455326559913152,0.28024773812563775,0.4519209018475814,0.7287871125571761,0.12338096458627025,0.33676857987417275,0.5368010167029775,0.7347694633408919,0.9319802734242487,2014
Kampala,0.0,0.07333333333333332,0.13333333333333333,0.44666666666666666,0.7240000000000009,0.017801454631574842,0.1416021534941346,0.2872516818124214,0.43658069225242846,0.7511868570451676,0.09077221011861533,0.2753740014524328,0.4504115226337448,0.6357492132655531,0.8674074074074075,2012
Kampala,0.005730659025787965,0.08022922636103152,0.17765042979942694,0.5587392550143266,0.7593123209169055,0.019972006870580424,0.13125081807608352,0.27800936723039016,0.46672593048360056,0.7542434129201216,0.11822294349838702,0.3422706366497216,0.5367569865316368,0.7265047060490861,0.9353443245810434,2014
Casablanca,0.02564102564102564,0.09615384615384616,0.1987179487179487,0.5705128205128205,0.8269230769230769,0.029623357634661018,0.1265270599012057,0.2537434821064099,0.436639424848434,0.6890218078998158,0.10057976276930525,0.29920237230694746,0.48724786210780613,0.6771798595981604,0.9073952870481354,2012
Casablanca,0.0,0.08123249299719887,0.17647058823529413,0.5602240896358543,0.7507002801120448,0.013482224377037045,0.12549619958235636,0.27390608288875445,0.46638747927892565,0.7737276380926007,0.1280764892462175,0.37364095860566443,0.5799863668459073,0.7682564814814816,0.9466088657685297,2014
Sofia,0.03867403314917127,0.09392265193370164,0.16574585635359115,0.5248618784530387,0.6740331491712708,0.0473845698718338,0.15549687074375163,0.2964835901336108,0.4790789147911211,0.7674463686940269,0.10388283708545148,0.2939796659404503,0.4554227941176472,0.65480755265069,0.8944433189942644,2012
Sofia,0.02769230769230769,0.08615384615384615,0.18461538461538465,0.5661538461538461,0.7661538461538462,0.03486360485862042,0.147428480975525,0.28873371631409755,0.46355388404792675,0.7525829909509986,0.11901348039215687,0.3298442339898923,0.5207939966109901,0.6947583971860349,0.9048988970588239,2014
Almaty,0.00390625,0.08203125,0.1640625,0.55078125,0.7578125,0.015351846538819429,0.12151669246883381,0.25245939800726047,0.4180125758149381,0.6693072530293287,0.14814693778746066,0.3631025104304612,0.5592532074558219,0.7530925703614779,0.9536372888255649,2012
Almaty,0.0,0.07536231884057971,0.16521739130434782,0.5710144927536231,0.8,0.002076343560604507,0.11896869270958801,0.266517125017255,0.44569532908938186,0.7337383038893377,0.13443202388221726,0.36318885228490133,0.5842411038489469,0.7791383850762523,0.9605906777936088,2014
Baku,0.0,0.08260869565217391,0.14782608695652175,0.5347826086956522,0.6869565217391305,0.00961791366191089,0.11300605351847993,0.2354039408792679,0.41144596341839956,0.7344451587770415,0.1013445557641229,0.3229645137375938,0.5223674655047205,0.7160082304526748,0.9263321212974063,2012
Baku,0.0,0.07727272727272727,0.15454545454545454,0.5636363636363636,0.7886363636363637,0.010969191730909683,0.12634554973951986,0.2723719330521757,0.4570032403010255,0.7470640451166257,0.1212160662188751,0.3566659888646817,0.5705035100459936,0.7661058670873193,0.951145536501798,2014
Warsaw,0.02973977695167286,0.08921933085501857,0.17100371747211895,0.5315985130111525,0.7026022304832714,0.04160260982142505,0.15909802015802882,0.2973967440218055,0.4853511936191027,0.7657210884219766,0.11131203098523362,0.29436213991769544,0.4743403534253208,0.6662720890825466,0.901604745619039,2012
