,city,val,sat,hue
20,Montevideo,"0    0.094752
1    0.118766
2    0.114745
3    0.112572
4    0.115506
5    0.110073
6    0.095404
7    0.078018
8    0.071824
9    0.088341
Name: valbin, dtype: float64","0    0.192763
1    0.177116
2    0.148104
3    0.123438
4    0.102358
5    0.079105
6    0.060958
7    0.048680
8    0.031729
9    0.035749
Name: satbin, dtype: float64","1red        0.214604
2orange     0.283277
3yellow     0.087145
4green      0.116375
5cyan       0.058133
6blue       0.188851
7purple     0.016625
8magenta    0.034989
Name: color, dtype: float64"
21,Mumbai,"0    0.099471
1    0.107490
2    0.104248
3    0.105272
4    0.106637
5    0.107320
6    0.091964
7    0.093670
8    0.070807
9    0.113121
Name: valbin, dtype: float64","0    0.258318
1    0.169084
2    0.125235
3    0.113291
4    0.085480
5    0.074731
6    0.057499
7    0.043167
8    0.032930
9    0.040266
Name: satbin, dtype: float64","1red        0.230336
2orange     0.289370
3yellow     0.079850
4green      0.114486
5cyan       0.058864
6blue       0.174202
7purple     0.014844
8magenta    0.038048
Name: color, dtype: float64"
22,Sydney,"0    0.109899
1    0.106806
2    0.104439
3    0.105175
4    0.103997
5    0.101074
6    0.094707
7    0.087525
8    0.080954
9    0.105424
Name: valbin, dtype: float64","0    0.207993
1    0.169793
2    0.139580
3    0.119426
4    0.100915
5    0.082914
6    0.067020
7    0.048679
8    0.036512
9    0.027166
Name: satbin, dtype: float64","1red        0.210112
2orange     0.286739
3yellow     0.084783
4green      0.102819
5cyan       0.063248
6blue       0.203167
7purple     0.015928
8magenta    0.033204
Name: color, dtype: float64"
23,Toronto,"0    0.095054
1    0.107696
2    0.109330
3    0.108220
4    0.111416
5    0.106107
6    0.098116
7    0.087921
8    0.076399
9    0.099741
Name: valbin, dtype: float64","0    0.189766
1    0.171192
2    0.146731
3    0.121854
4    0.102034
5    0.079424
6    0.064589
7    0.050033
8    0.039324
9    0.035053
Name: satbin, dtype: float64","1red        0.208665
2orange     0.289814
3yellow     0.087912
4green      0.106260
5cyan       0.059956
6blue       0.191048
7purple     0.020037
8magenta    0.036308
Name: color, dtype: float64"
24,Buenos Aires,"0    0.095515
1    0.106434
2    0.106886
3    0.109237
4    0.113148
5    0.107632
6    0.095492
7    0.088484
8    0.079351
9    0.097821
Name: valbin, dtype: float64","0    0.222272
1    0.168988
2    0.136999
3    0.110277
4    0.094769
5    0.077587
6    0.063187
7    0.051702
8    0.040195
9    0.034024
Name: satbin, dtype: float64","1red        0.225460
2orange     0.280282
3yellow     0.088326
4green      0.114776
5cyan       0.065606
6blue       0.177985
7purple     0.014288
8magenta    0.033278
Name: color, dtype: float64"
25,Beijing,"0    0.083437
1    0.090928
2    0.098835
3    0.113608
4    0.116313
5    0.103620
6    0.100499
7    0.090096
8    0.093425
9    0.109238
Name: valbin, dtype: float64","0    0.234707
1    0.159176
2    0.141282
3    0.105077
4    0.094881
5    0.079276
6    0.057220
7    0.051394
8    0.044112
9    0.032876
Name: satbin, dtype: float64","1red        0.257387
2orange     0.304203
3yellow     0.075114
4green      0.103620
5cyan       0.054099
6blue       0.162505
7purple     0.013733
8magenta    0.029338
Name: color, dtype: float64"
26,Nairobi,"0    0.089096
1    0.095672
2    0.109461
3    0.113492
4    0.122401
5    0.116249
6    0.096945
7    0.083369
8    0.065549
9    0.107764
Name: valbin, dtype: float64","0    0.242257
1    0.181375
2    0.140857
3    0.124735
4    0.089096
5    0.066822
6    0.054518
7    0.045821
8    0.034366
9    0.020153
Name: satbin, dtype: float64","1red        0.221892
2orange     0.253076
3yellow     0.082096
4green      0.128129
5cyan       0.070641
6blue       0.193254
7purple     0.019516
8magenta    0.031396
Name: color, dtype: float64"
27,Tokyo,"0    0.085017
1    0.101463
2    0.105125
3    0.108311
4    0.110430
5    0.108034
6    0.105847
7    0.096599
8    0.084249
9    0.094925
Name: valbin, dtype: float64","0    0.196110
1    0.177643
2    0.142498
3    0.116347
4    0.096666
5    0.080513
6    0.065610
7    0.054545
8    0.040548
9    0.029521
Name: satbin, dtype: float64","1red        0.185323
2orange     0.360123
3yellow     0.093805
4green      0.110603
5cyan       0.055586
6blue       0.152409
7purple     0.014716
8magenta    0.027435
Name: color, dtype: float64"
28,Mecca,"0    0.084650
1    0.089473
2    0.089852
3    0.099215
4    0.109051
5    0.102431
6    0.106214
7    0.100161
8    0.086730
9    0.132224
Name: valbin, dtype: float64","0    0.265771
1    0.215549
2    0.160409
3    0.110186
4    0.080488
5    0.058356
6    0.039062
7    0.031779
8    0.020146
9    0.018254
Name: satbin, dtype: float64","1red        0.189634
2orange     0.280810
3yellow     0.103944
4green      0.133075
5cyan       0.062234
6blue       0.190201
7purple     0.014849
8magenta    0.025253
Name: color, dtype: float64"
29,Beirut,"0    0.085946
1    0.097076
2    0.097147
3    0.099049
4    0.107714
5    0.101233
6    0.097640
7    0.096020
8    0.089891
9    0.128285
Name: valbin, dtype: float64","0    0.236703
1    0.152378
2    0.128637
3    0.106235
4    0.099331
5    0.081648
6    0.064812
7    0.053822
8    0.042762
9    0.033674
Name: satbin, dtype: float64","1red        0.242762
2orange     0.310532
3yellow     0.075379
4green      0.093765
5cyan       0.049947
6blue       0.177175
7purple     0.017189
8magenta    0.033251
Name: color, dtype: float64"
30,Damascus,"0    0.117871
1    0.117871
2    0.114612
3    0.117871
4    0.105921
5    0.075502
6    0.086366
7    0.074959
8    0.076046
9    0.112982
Name: valbin, dtype: float64","0    0.271592
1    0.171646
2    0.151548
3    0.140141
4    0.113525
5    0.058121
6    0.043998
7    0.022814
8    0.014123
9    0.012493
Name: satbin, dtype: float64","1red        0.218903
2orange     0.300923
3yellow     0.086909
4green      0.102662
5cyan       0.065182
6blue       0.189571
7purple     0.009234
8magenta    0.026616
Name: color, dtype: float64"
31,Prague,"0    0.081616
1    0.096927
2    0.110923
3    0.110264
4    0.112412
5    0.106073
6    0.098036
7    0.092978
8    0.086604
9    0.104167
Name: valbin, dtype: float64","0    0.191984
1    0.166314
2    0.135068
3    0.113763
4    0.097516
5    0.083278
6    0.069041
7    0.056154
8    0.047944
9    0.038937
Name: satbin, dtype: float64","1red        0.204801
2orange     0.335019
3yellow     0.086258
4green      0.096616
5cyan       0.053348
6blue       0.180656
7purple     0.013787
8magenta    0.029515
Name: color, dtype: float64"
32,London,"0    0.089911
1    0.103518
2    0.108847
3    0.109989
4    0.111263
5    0.105225
6    0.098266
7    0.089934
8    0.080446
9    0.102601
Name: valbin, dtype: float64","0    0.218165
1    0.174995
2    0.140682
3    0.115438
4    0.097135
5    0.076106
6    0.061762
7    0.048748
8    0.036856
9    0.030113
Name: satbin, dtype: float64","1red        0.213567
2orange     0.300532
3yellow     0.085747
4green      0.107511
5cyan       0.058050
6blue       0.180680
7purple     0.018422
8magenta    0.035491
Name: color, dtype: float64"
33,Singapore,"0    0.079593
1    0.082554
2    0.085362
3    0.089055
4    0.097984
5    0.108026
6    0.109980
7    0.105905
8    0.099647
9    0.141893
Name: valbin, dtype: float64","0    0.266663
1    0.160254
2    0.126921
3    0.108026
4    0.085316
5    0.073274
6    0.060958
7    0.047344
8    0.037957
9    0.033287
Name: satbin, dtype: float64","1red        0.262099
2orange     0.271684
3yellow     0.084675
4green      0.111644
5cyan       0.064224
6blue       0.155568
7purple     0.015751
8magenta    0.034355
Name: color, dtype: float64"
34,Lisbon,"0    0.082320
1    0.100249
2    0.104693
3    0.109136
4    0.111943
5    0.109838
6    0.103991
7    0.097131
8    0.086452
9    0.094247
Name: valbin, dtype: float64","0    0.202760
1    0.178204
2    0.141721
3    0.113969
4    0.093000
5    0.077799
6    0.065482
7    0.051918
8    0.043577
9    0.031572
Name: satbin, dtype: float64","1red        0.178828
2orange     0.293810
3yellow     0.083022
4green      0.119582
5cyan       0.065092
6blue       0.212582
7purple     0.015201
8magenta    0.031883
Name: color, dtype: float64"
35,Sofia,"0    0.096461
1    0.094102
2    0.116121
3    0.125819
4    0.110092
5    0.106160
6    0.100131
7    0.087287
8    0.069201
9    0.094626
Name: valbin, dtype: float64","0    0.197903
1    0.170904
2    0.135256
3    0.117955
4    0.098034
5    0.074181
6    0.066317
7    0.061337
8    0.043250
9    0.034862
Name: satbin, dtype: float64","1red        0.201048
2orange     0.288860
3yellow     0.098558
4green      0.120839
5cyan       0.062647
6blue       0.188991
7purple     0.013106
8magenta    0.025950
Name: color, dtype: float64"
36,Taipei,"0    0.076691
1    0.092733
2    0.099691
3    0.104600
4    0.108968
5    0.106881
6    0.108581
7    0.101778
8    0.091651
9    0.108427
Name: valbin, dtype: float64","0    0.187244
1    0.163974
2    0.140858
3    0.118052
4    0.100039
5    0.084345
6    0.068728
7    0.057055
8    0.042482
9    0.037225
Name: satbin, dtype: float64","1red        0.210746
2orange     0.334171
3yellow     0.084925
4green      0.101314
5cyan       0.060649
6blue       0.158523
7purple     0.015191
8magenta    0.034480
Name: color, dtype: float64"
37,Luanda,"0    0.081218
1    0.089679
2    0.093063
3    0.082910
4    0.093063
5    0.121827
6    0.155668
7    0.106599
8    0.067682
9    0.108291
Name: valbin, dtype: float64","0    0.262267
1    0.165821
2    0.087986
3    0.104907
4    0.098139
5    0.089679
6    0.074450
7    0.038917
8    0.027073
9    0.050761
Name: satbin, dtype: float64","1red        0.292724
2orange     0.263959
3yellow     0.045685
4green      0.086294
5cyan       0.081218
6blue       0.187817
7purple     0.013536
8magenta    0.028765
Name: color, dtype: float64"
38,Minsk,"0    0.083097
1    0.091934
2    0.109323
3    0.107621
4    0.113539
5    0.111066
6    0.103932
7    0.088326
8    0.078597
9    0.112566
Name: valbin, dtype: float64","0    0.261654
1    0.177989
2    0.135306
3    0.110904
4    0.094325
5    0.067612
6    0.055736
7    0.040251
8    0.034495
9    0.021727
Name: satbin, dtype: float64","1red        0.235266
2orange     0.251398
3yellow     0.078922
4green      0.115647
5cyan       0.061857
6blue       0.206040
7purple     0.016579
8magenta    0.034293
Name: color, dtype: float64"
39,Cairo,"0    0.118790
1    0.108735
2    0.108644
3    0.102684
4    0.103230
5    0.099272
6    0.088353
7    0.083803
8    0.075796
9    0.110692
Name: valbin, dtype: float64","0    0.260237
1    0.170428
2    0.134076
3    0.114104
4    0.087352
5    0.068562
6    0.055232
7    0.045450
8    0.033212
9    0.031347
Name: satbin, dtype: float64","1red        0.254004
2orange     0.290719
3yellow     0.088262
4green      0.109190
5cyan       0.061328
6blue       0.155323
7purple     0.012739
8magenta    0.028435
Name: color, dtype: float64"
40,Copenhagen,"0    0.095635
1    0.101306
2    0.103821
3    0.104437
4    0.105463
5    0.105566
6    0.097970
7    0.089862
8    0.082369
9    0.113572
Name: valbin, dtype: float64","0    0.230325
1    0.172179
2    0.142798
3    0.112545
4    0.093711
5    0.075441
6    0.060481
7    0.048061
8    0.034975
9    0.029483
Name: satbin, dtype: float64","1red        0.231967
2orange     0.290909
3yellow     0.081856
4green      0.102692
5cyan       0.059685
6blue       0.183162
7purple     0.015884
8magenta    0.033846
Name: color, dtype: float64"
41,Kiev,"0    0.087757
1    0.104566
2    0.109334
3    0.109260
4    0.112430
5    0.107540
6    0.100364
7    0.085865
8    0.076280
9    0.106606
Name: valbin, dtype: float64","0    0.218913
1    0.163300
2    0.137300
3    0.118254
4    0.095498
5    0.078738
6    0.063403
7    0.051902
8    0.039443
9    0.033250
Name: satbin, dtype: float64","1red        0.248526
2orange     0.255456
3yellow     0.078640
4green      0.106876
5cyan       0.063379
6blue       0.189644
7purple     0.017202
8magenta    0.040278
Name: color, dtype: float64"
42,Vienna,"0    0.086735
1    0.098773
2    0.102091
3    0.107300
4    0.111004
5    0.111313
6    0.103172
7    0.093333
8    0.079983
9    0.106297
Name: valbin, dtype: float64","0    0.220812
1    0.170847
2    0.138475
3    0.120380
4    0.096690
5    0.077437
6    0.058222
7    0.049734
8    0.036615
9    0.030789
Name: satbin, dtype: float64","1red        0.206613
2orange     0.301065
3yellow     0.105024
4green      0.107146
5cyan       0.053438
6blue       0.179991
7purple     0.015896
8magenta    0.030828
Name: color, dtype: float64"
43,Moscow,"0    0.080602
1    0.100662
2    0.107021
3    0.108444
4    0.109831
5    0.106360
6    0.101337
7    0.091729
8    0.083925
9    0.110089
Name: valbin, dtype: float64","0    0.220432
1    0.169252
2    0.137452
3    0.115928
4    0.095545
5    0.078583
6    0.064439
7    0.049739
8    0.038427
9    0.030202
Name: satbin, dtype: float64","1red        0.227274
2orange     0.287791
3yellow     0.080497
4green      0.109109
5cyan       0.057470
6blue       0.181391
7purple     0.018201
8magenta    0.038268
Name: color, dtype: float64"
44,Ho Chi Minh City,"0    0.069672
1    0.105647
2    0.100638
3    0.119308
4    0.124772
5    0.112933
6    0.086976
7    0.096084
8    0.077869
9    0.106102
Name: valbin, dtype: float64","0    0.203097
1    0.181694
2    0.161202
3    0.102914
4    0.093807
5    0.076958
6    0.052823
7    0.046903
8    0.045993
9    0.034608
Name: satbin, dtype: float64","1red        0.194444
2orange     0.263206
3yellow     0.090619
4green      0.167577
5cyan       0.098816
6blue       0.131603
7purple     0.018670
8magenta    0.035064
Name: color, dtype: float64"
45,Jakarta,"0    0.087750
1    0.101027
2    0.103581
3    0.106540
4    0.109953
5    0.105933
6    0.102418
7    0.094325
8    0.079582
9    0.108891
Name: valbin, dtype: float64","0    0.208881
1    0.159670
2    0.137973
3    0.118096
4    0.097866
5    0.081757
6    0.065623
7    0.052676
8    0.040310
9    0.037148
Name: satbin, dtype: float64","1red        0.231287
2orange     0.279385
3yellow     0.084463
4green      0.121030
5cyan       0.070226
6blue       0.167510
7purple     0.016387
8magenta    0.029714
Name: color, dtype: float64"
46,Berlin,"0    0.096360
1    0.105334
2    0.104886
3    0.107815
4    0.109289
5    0.107293
6    0.099532
7    0.088058
8    0.078431
9    0.103002
Name: valbin, dtype: float64","0    0.216134
1    0.175407
2    0.137553
3    0.116136
4    0.097890
5    0.074476
6    0.061342
7    0.046324
8    0.039029
9    0.035708
Name: satbin, dtype: float64","1red        0.202478
2orange     0.287028
3yellow     0.088692
4green      0.117591
5cyan       0.067275
6blue       0.188616
7purple     0.016418
8magenta    0.031902
Name: color, dtype: float64"
47,Baghdad,"0    0.113452
1    0.130470
2    0.106159
3    0.114263
4    0.107780
5    0.103728
6    0.092382
7    0.080227
8    0.076175
9    0.075365
Name: valbin, dtype: float64","0    0.333063
1    0.192058
2    0.131280
3    0.076175
4    0.081037
5    0.054295
6    0.047812
7    0.044571
8    0.017018
9    0.022690
Name: satbin, dtype: float64","1red        0.321718
2orange     0.218801
3yellow     0.075365
4green      0.106159
5cyan       0.051053
6blue       0.194489
7purple     0.011345
8magenta    0.021070
Name: color, dtype: float64"
48,San Jose,"0    0.104391
1    0.108218
2    0.109830
3    0.103837
4    0.109377
5    0.100765
6    0.097391
7    0.085457
8    0.073018
9    0.107715
Name: valbin, dtype: float64","0    0.226256
1    0.168748
2    0.140900
3    0.116981
4    0.090795
5    0.082032
6    0.060882
7    0.049250
8    0.035049
9    0.029107
Name: satbin, dtype: float64","1red        0.236026
2orange     0.258687
3yellow     0.090341
4green      0.110082
5cyan       0.064558
6blue       0.189395
7purple     0.019136
8magenta    0.031776
Name: color, dtype: float64"
49,Panama City,"0    0.091426
1    0.097496
2    0.117223
3    0.109256
4    0.122914
5    0.108877
6    0.095599
7    0.079666
8    0.068285
9    0.109256
Name: valbin, dtype: float64","0    0.254552
1    0.184750
2    0.154780
3    0.117602
4    0.086495
5    0.056525
6    0.054628
7    0.041351
8    0.033005
9    0.016313
Name: satbin, dtype: float64","1red        0.186267
2orange     0.239757
3yellow     0.075493
4green      0.117602
5cyan       0.092944
6blue       0.239378
7purple     0.018589
8magenta    0.029970
Name: color, dtype: float64"
50,Casablanca,"0    0.097849
1    0.096237
2    0.106989
3    0.103226
4    0.117742
5    0.111828
6    0.087097
7    0.082796
8    0.090323
9    0.105914
Name: valbin, dtype: float64","0    0.253226
1    0.172043
2    0.131183
3    0.109140
4    0.089785
5    0.088172
6    0.059140
7    0.042473
8    0.028495
9    0.026344
Name: satbin, dtype: float64","1red        0.229032
2orange     0.243548
3yellow     0.082258
4green      0.128495
5cyan       0.062903
6blue       0.185484
7purple     0.021505
8magenta    0.046774
Name: color, dtype: float64"
51,Khartoum,"0    0.099237
1    0.145038
2    0.076336
3    0.045802
4    0.061069
5    0.129771
6    0.106870
7    0.076336
8    0.114504
9    0.145038
Name: valbin, dtype: float64","0    0.282443
1    0.145038
2    0.152672
3    0.129771
4    0.129771
5    0.091603
6    0.022901
7    0.007634
8    0.022901
9    0.015267
Name: satbin, dtype: float64","1red        0.419847
2orange     0.167939
3yellow     0.068702
4green      0.053435
5cyan       0.083969
6blue       0.152672
7purple     0.022901
8magenta    0.030534
Name: color, dtype: float64"
52,Santiago,"0    0.102314
1    0.106829
2    0.110978
3    0.112068
4    0.112361
5    0.106188
6    0.095884
7    0.084994
8    0.071073
9    0.097313
Name: valbin, dtype: float64","0    0.217321
1    0.171683
2    0.137135
3    0.114614
4    0.095985
5    0.075579
6    0.061520
7    0.051134
8    0.040574
9    0.034456
Name: satbin, dtype: float64","1red        0.223265
2orange     0.261513
3yellow     0.085241
4green      0.117801
5cyan       0.068023
6blue       0.189130
7purple     0.017649
8magenta    0.037377
Name: color, dtype: float64"
