,city,val,sat,hue
0,Dar es Salaam,"0    0.062176
1    0.111399
2    0.106218
3    0.101036
4    0.077720
5    0.132124
6    0.132124
7    0.119171
8    0.056995
9    0.101036
Name: valbin, dtype: float64","0    0.248705
1    0.173575
2    0.147668
3    0.152850
4    0.093264
5    0.059585
6    0.049223
7    0.025907
8    0.020725
9    0.028497
Name: satbin, dtype: float64","1red        0.256477
2orange     0.227979
3yellow     0.082902
4green      0.088083
5cyan       0.080311
6blue       0.204663
7purple     0.018135
8magenta    0.041451
Name: color, dtype: float64"
1,Almaty,"0    0.068319
1    0.076247
2    0.092246
3    0.095993
4    0.102479
5    0.106371
6    0.098876
7    0.103056
8    0.103488
9    0.152926
Name: valbin, dtype: float64","0    0.261891
1    0.160565
2    0.138224
3    0.119631
4    0.104209
5    0.071346
6    0.058230
7    0.043096
8    0.026953
9    0.015855
Name: satbin, dtype: float64","1red        0.255837
2orange     0.254540
3yellow     0.077400
4green      0.107091
5cyan       0.057654
6blue       0.185644
7purple     0.020611
8magenta    0.041222
Name: color, dtype: float64"
2,Bogota,"0    0.101715
1    0.104587
2    0.104823
3    0.104802
4    0.106174
5    0.104523
6    0.100707
7    0.088853
8    0.076849
9    0.106967
Name: valbin, dtype: float64","0    0.249796
1    0.161972
2    0.130675
3    0.109239
4    0.094469
5    0.077406
6    0.061265
7    0.047738
8    0.037213
9    0.030225
Name: satbin, dtype: float64","1red        0.262294
2orange     0.261158
3yellow     0.077942
4green      0.110332
5cyan       0.059335
6blue       0.177170
7purple     0.017985
8magenta    0.033783
Name: color, dtype: float64"
3,Lagos,"0    0.060262
1    0.099563
2    0.113537
3    0.111790
4    0.125764
5    0.119651
6    0.108297
7    0.095197
8    0.073362
9    0.092576
Name: valbin, dtype: float64","0    0.237555
1    0.165066
2    0.137118
3    0.111790
4    0.087336
5    0.073362
6    0.070742
7    0.048908
8    0.041048
9    0.027074
Name: satbin, dtype: float64","1red        0.244541
2orange     0.218341
3yellow     0.079476
4green      0.141485
5cyan       0.073362
6blue       0.181659
7purple     0.018341
8magenta    0.042795
Name: color, dtype: float64"
4,Tel Aviv,"0    0.086180
1    0.090451
2    0.095105
3    0.103975
4    0.106165
5    0.108081
6    0.106329
7    0.101347
8    0.086345
9    0.116021
Name: valbin, dtype: float64","0    0.226949
1    0.174004
2    0.145587
3    0.116459
4    0.095050
5    0.075120
6    0.059187
7    0.043090
8    0.035863
9    0.028690
Name: satbin, dtype: float64","1red        0.214575
2orange     0.286684
3yellow     0.076763
4green      0.111093
5cyan       0.071945
6blue       0.193824
7purple     0.015988
8magenta    0.029128
Name: color, dtype: float64"
5,Asuncion,"0    0.107374
1    0.100197
2    0.107374
3    0.105545
4    0.105826
5    0.107796
6    0.099916
7    0.092316
8    0.074444
9    0.099212
Name: valbin, dtype: float64","0    0.254714
1    0.174360
2    0.137349
3    0.111596
4    0.100056
5    0.072896
6    0.059386
7    0.038278
8    0.030256
9    0.021109
Name: satbin, dtype: float64","1red        0.250493
2orange     0.254714
3yellow     0.081903
4green      0.110470
5cyan       0.075992
6blue       0.183929
7purple     0.013932
8magenta    0.028567
Name: color, dtype: float64"
6,Manila,"0    0.084413
1    0.091387
2    0.092996
3    0.100360
4    0.107065
5    0.106833
6    0.106065
7    0.097019
8    0.091155
9    0.122706
Name: valbin, dtype: float64","0    0.227894
1    0.153051
2    0.129960
3    0.112868
4    0.096788
5    0.082999
6    0.068747
7    0.052508
8    0.040890
9    0.034294
Name: satbin, dtype: float64","1red        0.249009
2orange     0.285291
3yellow     0.088802
4green      0.110661
5cyan       0.065785
6blue       0.155282
7purple     0.014886
8magenta    0.030283
Name: color, dtype: float64"
7,Brussels,"0    0.086271
1    0.106713
2    0.107675
3    0.109325
4    0.116196
5    0.106988
6    0.099567
7    0.086511
8    0.079812
9    0.100941
Name: valbin, dtype: float64","0    0.220539
1    0.168041
2    0.137463
3    0.110664
4    0.100667
5    0.077235
6    0.061018
7    0.047791
8    0.040370
9    0.036212
Name: satbin, dtype: float64","1red        0.223940
2orange     0.299079
3yellow     0.083969
4green      0.103587
5cyan       0.058785
6blue       0.175187
7purple     0.018484
8magenta    0.036968
Name: color, dtype: float64"
8,Bangkok,"0    0.079390
1    0.088973
2    0.092088
3    0.097220
4    0.103761
5    0.103522
6    0.108284
7    0.104202
8    0.095311
9    0.127248
Name: valbin, dtype: float64","0    0.228574
1    0.173543
2    0.139266
3    0.114526
4    0.095299
5    0.073220
6    0.061022
7    0.047429
8    0.037201
9    0.029920
Name: satbin, dtype: float64","1red        0.237633
2orange     0.282973
3yellow     0.090227
4green      0.108893
5cyan       0.064292
6blue       0.165809
7purple     0.016744
8magenta    0.033429
Name: color, dtype: float64"
9,Amsterdam,"0    0.096302
1    0.106357
2    0.110539
3    0.113399
4    0.112934
5    0.106679
6    0.094562
7    0.084757
8    0.074904
9    0.099566
Name: valbin, dtype: float64","0    0.222294
1    0.173803
2    0.137787
3    0.111385
4    0.091989
5    0.075035
6    0.062037
7    0.049694
8    0.040282
9    0.035695
Name: satbin, dtype: float64","1red        0.220066
2orange     0.287333
3yellow     0.085269
4green      0.109955
5cyan       0.059499
6blue       0.186432
7purple     0.016692
8magenta    0.034753
Name: color, dtype: float64"
10,Guayaquil,"0    0.090359
1    0.099067
2    0.098569
3    0.108397
4    0.114410
5    0.115074
6    0.107236
7    0.094381
8    0.076218
9    0.096289
Name: valbin, dtype: float64","0    0.241261
1    0.168277
2    0.134937
3    0.113000
4    0.094340
5    0.077711
6    0.059755
7    0.048476
8    0.033423
9    0.028820
Name: satbin, dtype: float64","1red        0.249222
2orange     0.260460
3yellow     0.079494
4green      0.118267
5cyan       0.068671
6blue       0.176778
7purple     0.017002
8magenta    0.030106
Name: color, dtype: float64"
11,Dhaka,"0    0.058491
1    0.098113
2    0.119811
3    0.102358
4    0.114623
5    0.108491
6    0.106604
7    0.076415
8    0.079717
9    0.135377
Name: valbin, dtype: float64","0    0.263208
1    0.180189
2    0.144811
3    0.115094
4    0.102358
5    0.075472
6    0.050000
7    0.026887
8    0.023585
9    0.018396
Name: satbin, dtype: float64","1red        0.228302
2orange     0.295283
3yellow     0.083962
4green      0.100000
5cyan       0.062264
6blue       0.185849
7purple     0.016981
8magenta    0.027358
Name: color, dtype: float64"
12,Istanbul,"0    0.100652
1    0.104892
2    0.107420
3    0.111158
4    0.110287
5    0.104452
6    0.096843
7    0.089046
8    0.076993
9    0.098257
Name: valbin, dtype: float64","0    0.201044
1    0.166800
2    0.141900
3    0.119301
4    0.097275
5    0.080086
6    0.065591
7    0.052556
8    0.041547
9    0.033899
Name: satbin, dtype: float64","1red        0.224601
2orange     0.264036
3yellow     0.079686
4green      0.114825
5cyan       0.066596
6blue       0.196042
7purple     0.018257
8magenta    0.035956
Name: color, dtype: float64"
13,Kampala,"0    0.105085
1    0.094915
2    0.127458
3    0.113898
4    0.117288
5    0.102373
6    0.106441
7    0.088814
8    0.060339
9    0.083390
Name: valbin, dtype: float64","0    0.229831
1    0.157966
2    0.128814
3    0.142373
4    0.098305
5    0.075932
6    0.048136
7    0.043390
8    0.038644
9    0.036610
Name: satbin, dtype: float64","1red        0.282034
2orange     0.268475
3yellow     0.077288
4green      0.113220
5cyan       0.042034
6blue       0.159322
7purple     0.016949
8magenta    0.040678
Name: color, dtype: float64"
14,Santo Domingo,"0    0.087250
1    0.094578
2    0.111067
3    0.109521
4    0.108948
5    0.106487
6    0.101105
7    0.089311
8    0.079464
9    0.112269
Name: valbin, dtype: float64","0    0.240511
1    0.167573
2    0.133337
3    0.115647
4    0.096697
5    0.074197
6    0.061888
7    0.045743
8    0.034522
9    0.029885
Name: satbin, dtype: float64","1red        0.225568
2orange     0.259174
3yellow     0.082727
4green      0.116734
5cyan       0.076373
6blue       0.189386
7purple     0.015916
8magenta    0.034121
Name: color, dtype: float64"
15,Paris,"0    0.094051
1    0.104287
2    0.107050
3    0.107780
4    0.108022
5    0.104184
6    0.096528
7    0.089019
8    0.079636
9    0.109443
Name: valbin, dtype: float64","0    0.226320
1    0.170032
2    0.136965
3    0.112358
4    0.094436
5    0.074979
6    0.061699
7    0.049667
8    0.039623
9    0.033921
Name: satbin, dtype: float64","1red        0.217652
2orange     0.296376
3yellow     0.083894
4green      0.104376
5cyan       0.058162
6blue       0.181975
7purple     0.018583
8magenta    0.038982
Name: color, dtype: float64"
16,Helsinki,"0    0.075334
1    0.087681
2    0.106629
3    0.108506
4    0.112432
5    0.110612
6    0.108393
7    0.097183
8    0.089730
9    0.103499
Name: valbin, dtype: float64","0    0.205576
1    0.172347
2    0.140711
3    0.119260
4    0.103101
5    0.079943
6    0.061508
7    0.048478
8    0.038578
9    0.030498
Name: satbin, dtype: float64","1red        0.186572
2orange     0.298037
3yellow     0.075505
4green      0.108051
5cyan       0.071010
6blue       0.210583
7purple     0.015533
8magenta    0.034708
Name: color, dtype: float64"
17,Baku,"0    0.098356
1    0.086132
2    0.092876
3    0.100323
4    0.098497
5    0.099480
6    0.108613
7    0.103414
8    0.087537
9    0.124772
Name: valbin, dtype: float64","0    0.275818
1    0.173388
2    0.132500
3    0.106225
4    0.082479
5    0.062245
6    0.053674
7    0.042996
8    0.034565
9    0.036111
Name: satbin, dtype: float64","1red        0.254602
2orange     0.267669
3yellow     0.081776
4green      0.094000
5cyan       0.066461
6blue       0.192918
7purple     0.014051
8magenta    0.028523
Name: color, dtype: float64"
18,Dubai,"0    0.103163
1    0.097787
2    0.096673
3    0.098029
4    0.102824
5    0.103647
6    0.108878
7    0.097787
8    0.087906
9    0.103308
Name: valbin, dtype: float64","0    0.222066
1    0.170921
2    0.137357
3    0.117983
4    0.097932
5    0.078559
6    0.061559
7    0.050080
8    0.035841
9    0.027704
Name: satbin, dtype: float64","1red        0.208650
2orange     0.299123
3yellow     0.083354
4green      0.112026
5cyan       0.066935
6blue       0.186226
7purple     0.015499
8magenta    0.028188
Name: color, dtype: float64"
19,Ulan Bator,"0    0.085424
1    0.082488
2    0.095035
3    0.098505
4    0.109717
5    0.124933
6    0.102242
7    0.099573
8    0.086759
9    0.115323
Name: valbin, dtype: float64","0    0.273625
1    0.168179
2    0.134810
3    0.121196
4    0.091030
5    0.073412
6    0.053924
7    0.036038
8    0.023759
9    0.024026
Name: satbin, dtype: float64","1red        0.270689
2orange     0.241591
3yellow     0.066471
4green      0.085958
5cyan       0.061933
6blue       0.219968
7purple     0.018954
8magenta    0.034437
Name: color, dtype: float64"
