,city,val,sat,hue
53,Kampala,"0    0.085718
1    0.083622
2    0.088228
3    0.100828
4    0.102639
5    0.107141
6    0.104657
7    0.098629
8    0.095627
9    0.132911
Name: valbin, dtype: float64","0    0.247762
1    0.151695
2    0.127167
3    0.108668
4    0.094644
5    0.081759
6    0.061035
7    0.047814
8    0.037439
9    0.042018
Name: satbin, dtype: float64","1red        0.266184
2orange     0.238577
3yellow     0.067167
4green      0.121449
5cyan       0.058060
6blue       0.193790
7purple     0.019276
8magenta    0.035498
Name: color, dtype: float64"
54,Istanbul,"0    0.093937
1    0.083892
2    0.086150
3    0.093578
4    0.106762
5    0.101528
6    0.102316
7    0.103474
8    0.098198
9    0.130164
Name: valbin, dtype: float64","0    0.245274
1    0.154698
2    0.131208
3    0.112311
4    0.093160
5    0.073033
6    0.058367
7    0.045425
8    0.037726
9    0.048797
Name: satbin, dtype: float64","1red        0.245230
2orange     0.242136
3yellow     0.066999
4green      0.114742
5cyan       0.073140
6blue       0.199386
7purple     0.020793
8magenta    0.037573
Name: color, dtype: float64"
55,Vienna,"0    0.083077
1    0.087140
2    0.090002
3    0.093539
4    0.097578
5    0.101358
6    0.103021
7    0.106268
8    0.104684
9    0.133333
Name: valbin, dtype: float64","0    0.238456
1    0.157402
2    0.132878
3    0.116204
4    0.096684
5    0.078128
6    0.063847
7    0.045989
8    0.035535
9    0.034876
Name: satbin, dtype: float64","1red        0.260682
2orange     0.278908
3yellow     0.060239
4green      0.083673
5cyan       0.054483
6blue       0.199235
7purple     0.022203
8magenta    0.040578
Name: color, dtype: float64"
56,Moscow,"0    0.076303
1    0.091871
2    0.091956
3    0.094338
4    0.095519
5    0.098833
6    0.100596
7    0.101478
8    0.098041
9    0.151064
Name: valbin, dtype: float64","0    0.253417
1    0.160503
2    0.135534
3    0.113727
4    0.095820
5    0.076890
6    0.061140
7    0.044406
8    0.031845
9    0.026718
Name: satbin, dtype: float64","1red        0.270285
2orange     0.270208
3yellow     0.054745
4green      0.070254
5cyan       0.050523
6blue       0.216338
7purple     0.024548
8magenta    0.043098
Name: color, dtype: float64"
57,Mecca,"0    0.090147
1    0.065062
2    0.072098
3    0.080921
4    0.089364
5    0.098890
6    0.105388
7    0.111876
8    0.118970
9    0.167284
Name: valbin, dtype: float64","0    0.282019
1    0.156344
2    0.127313
3    0.102139
4    0.083728
5    0.068597
6    0.056360
7    0.044161
8    0.035349
9    0.043989
Name: satbin, dtype: float64","1red        0.241738
2orange     0.237865
3yellow     0.093486
4green      0.153288
5cyan       0.058609
6blue       0.162535
7purple     0.017600
8magenta    0.034880
Name: color, dtype: float64"
58,Berlin,"0    0.089226
1    0.097681
2    0.099230
3    0.100800
4    0.104952
5    0.105064
6    0.103400
7    0.096932
8    0.090252
9    0.112461
Name: valbin, dtype: float64","0    0.220878
1    0.164594
2    0.137177
3    0.117103
4    0.098222
5    0.080219
6    0.063710
7    0.048167
8    0.037259
9    0.032671
Name: satbin, dtype: float64","1red        0.245619
2orange     0.279410
3yellow     0.061431
4green      0.079733
5cyan       0.054891
6blue       0.213938
7purple     0.023783
8magenta    0.041195
Name: color, dtype: float64"
59,Tel Aviv,"0    0.075896
1    0.081868
2    0.087509
3    0.093481
4    0.097531
5    0.106916
6    0.108648
7    0.107680
8    0.099989
9    0.140483
Name: valbin, dtype: float64","0    0.241185
1    0.161685
2    0.140190
3    0.123394
4    0.095251
5    0.077755
6    0.060818
7    0.042188
8    0.028652
9    0.028881
Name: satbin, dtype: float64","1red        0.271034
2orange     0.277095
3yellow     0.060640
4green      0.073769
5cyan       0.052554
6blue       0.201149
7purple     0.022463
8magenta    0.041297
Name: color, dtype: float64"
60,Tokyo,"0    0.077208
1    0.095333
2    0.096505
3    0.100724
4    0.105509
5    0.109373
6    0.110765
7    0.106296
8    0.094984
9    0.103303
Name: valbin, dtype: float64","0    0.182806
1    0.170286
2    0.146210
3    0.124637
4    0.105736
5    0.086958
6    0.069378
7    0.053385
8    0.036870
9    0.023734
Name: satbin, dtype: float64","1red        0.231300
2orange     0.348545
3yellow     0.062174
4green      0.079430
5cyan       0.042982
6blue       0.176278
7purple     0.020953
8magenta    0.038339
Name: color, dtype: float64"
61,London,"0    0.085694
1    0.097948
2    0.096123
3    0.097251
4    0.099685
5    0.101570
6    0.102751
7    0.100738
8    0.094001
9    0.124239
Name: valbin, dtype: float64","0    0.214961
1    0.157865
2    0.135647
3    0.120389
4    0.102808
5    0.083864
6    0.066559
7    0.049492
8    0.036170
9    0.032247
Name: satbin, dtype: float64","1red        0.271767
2orange     0.284374
3yellow     0.057265
4green      0.067614
5cyan       0.044252
6blue       0.197590
7purple     0.028053
8magenta    0.049085
Name: color, dtype: float64"
62,Lisbon,"0    0.077686
1    0.088990
2    0.089282
3    0.096620
4    0.101887
5    0.104773
6    0.106420
7    0.103003
8    0.097656
9    0.133684
Name: valbin, dtype: float64","0    0.225064
1    0.156752
2    0.137331
3    0.120264
4    0.100931
5    0.080394
6    0.062920
7    0.045960
8    0.035559
9    0.034824
Name: satbin, dtype: float64","1red        0.260410
2orange     0.247132
3yellow     0.061212
4green      0.089583
5cyan       0.059141
6blue       0.213512
7purple     0.024361
8magenta    0.044650
Name: color, dtype: float64"
63,Taipei,"0    0.082705
1    0.093304
2    0.097004
3    0.096763
4    0.101471
5    0.106062
6    0.108179
7    0.103462
8    0.097071
9    0.113979
Name: valbin, dtype: float64","0    0.201250
1    0.162210
2    0.138619
3    0.119570
4    0.104529
5    0.085513
6    0.068964
7    0.050973
8    0.038415
9    0.029957
Name: satbin, dtype: float64","1red        0.249123
2orange     0.310879
3yellow     0.067139
4green      0.090921
5cyan       0.056631
6blue       0.165426
7purple     0.021691
8magenta    0.038190
Name: color, dtype: float64"
64,Brussels,"0    0.084754
1    0.093242
2    0.094976
3    0.097734
4    0.101610
5    0.102452
6    0.100526
7    0.099816
8    0.094225
9    0.130664
Name: valbin, dtype: float64","0    0.229477
1    0.152264
2    0.132338
3    0.116062
4    0.098666
5    0.080479
6    0.065806
7    0.049857
8    0.038178
9    0.036873
Name: satbin, dtype: float64","1red        0.261722
2orange     0.277691
3yellow     0.065156
4green      0.076054
5cyan       0.049625
6blue       0.198986
7purple     0.026958
8magenta    0.043809
Name: color, dtype: float64"
65,Asuncion,"0    0.088348
1    0.086979
2    0.092423
3    0.095972
4    0.102697
5    0.107179
6    0.107873
7    0.102880
8    0.093365
9    0.122284
Name: valbin, dtype: float64","0    0.236462
1    0.150558
2    0.131297
3    0.114233
4    0.096880
5    0.079809
6    0.063274
7    0.048772
8    0.038440
9    0.040274
Name: satbin, dtype: float64","1red        0.245506
2orange     0.243340
3yellow     0.076921
4green      0.136707
5cyan       0.066287
6blue       0.177385
7purple     0.017539
8magenta    0.036315
Name: color, dtype: float64"
66,Luanda,"0    0.069848
1    0.076001
2    0.073194
3    0.080643
4    0.076433
5    0.083450
6    0.093382
7    0.100615
8    0.119616
9    0.226816
Name: valbin, dtype: float64","0    0.356256
1    0.128684
2    0.110763
3    0.098348
4    0.083018
5    0.066717
6    0.054302
7    0.035518
8    0.025802
9    0.040592
Name: satbin, dtype: float64","1red        0.410666
2orange     0.208140
3yellow     0.053654
4green      0.074922
5cyan       0.036489
6blue       0.151355
7purple     0.019432
8magenta    0.045342
Name: color, dtype: float64"
67,Doha,"0    0.081469
1    0.074694
2    0.079114
3    0.083390
4    0.089958
5    0.097089
6    0.104336
7    0.112016
8    0.115286
9    0.162648
Name: valbin, dtype: float64","0    0.266643
1    0.153442
2    0.125773
3    0.107933
4    0.091682
5    0.074790
6    0.060248
7    0.045513
8    0.035204
9    0.038772
Name: satbin, dtype: float64","1red        0.272248
2orange     0.256006
3yellow     0.073384
4green      0.097975
5cyan       0.055399
6blue       0.182362
7purple     0.021635
8magenta    0.040992
Name: color, dtype: float64"
68,Guatemala City,"0    0.082365
1    0.083415
2    0.089381
3    0.092954
4    0.096963
5    0.102039
6    0.102283
7    0.102195
8    0.098739
9    0.149666
Name: valbin, dtype: float64","0    0.261946
1    0.149927
2    0.129035
3    0.111973
4    0.095074
5    0.075484
6    0.059803
7    0.045578
8    0.034797
9    0.036384
Name: satbin, dtype: float64","1red        0.274730
2orange     0.229559
3yellow     0.070903
4green      0.116998
5cyan       0.060785
6blue       0.185311
7purple     0.020694
8magenta    0.041019
Name: color, dtype: float64"
69,Rio de Janeiro,"0    0.083223
1    0.089184
2    0.089273
3    0.091586
4    0.096453
5    0.103809
6    0.101460
7    0.099805
8    0.096971
9    0.148235
Name: valbin, dtype: float64","0    0.253817
1    0.151498
2    0.131700
3    0.118226
4    0.097827
5    0.078688
6    0.061436
7    0.043714
8    0.032175
9    0.030920
Name: satbin, dtype: float64","1red        0.284273
2orange     0.238116
3yellow     0.061404
4green      0.087867
5cyan       0.055764
6blue       0.198953
7purple     0.027603
8magenta    0.046020
Name: color, dtype: float64"
70,Beirut,"0    0.105896
1    0.075590
2    0.078750
3    0.082632
4    0.088868
5    0.095405
6    0.102018
7    0.104829
8    0.106236
9    0.159778
Name: valbin, dtype: float64","0    0.287385
1    0.135892
2    0.118027
3    0.105920
4    0.090119
5    0.075040
6    0.061895
7    0.047542
8    0.037071
9    0.041109
Name: satbin, dtype: float64","1red        0.313159
2orange     0.233811
3yellow     0.066330
4green      0.107143
5cyan       0.047418
6blue       0.171829
7purple     0.020164
8magenta    0.040147
Name: color, dtype: float64"
71,Minsk,"0    0.075975
1    0.090833
2    0.090512
3    0.092253
4    0.095029
5    0.100658
6    0.101475
7    0.099053
8    0.094901
9    0.159310
Name: valbin, dtype: float64","0    0.289191
1    0.152755
2    0.126053
3    0.110396
4    0.092102
5    0.073029
6    0.056392
7    0.041301
8    0.030059
9    0.028722
Name: satbin, dtype: float64","1red        0.277475
2orange     0.231522
3yellow     0.065283
4green      0.097019
5cyan       0.064579
6blue       0.202344
7purple     0.021319
8magenta    0.040461
Name: color, dtype: float64"
72,Prague,"0    0.079574
1    0.095275
2    0.095120
3    0.103488
4    0.103374
5    0.103809
6    0.101438
7    0.100443
8    0.094053
9    0.123426
Name: valbin, dtype: float64","0    0.215832
1    0.157325
2    0.134964
3    0.118444
4    0.102546
5    0.082639
6    0.065716
7    0.053018
8    0.037306
9    0.032211
Name: satbin, dtype: float64","1red        0.252175
2orange     0.298420
3yellow     0.054427
4green      0.079356
5cyan       0.049725
6blue       0.201746
7purple     0.022920
8magenta    0.041232
Name: color, dtype: float64"
73,Cairo,"0    0.086018
1    0.075379
2    0.081575
3    0.088145
4    0.092946
5    0.098110
6    0.102668
7    0.105065
8    0.110637
9    0.159458
Name: valbin, dtype: float64","0    0.286445
1    0.140539
2    0.121237
3    0.103489
4    0.087898
5    0.072111
6    0.058960
7    0.047030
8    0.037790
9    0.044502
Name: satbin, dtype: float64","1red        0.297920
2orange     0.229261
3yellow     0.076485
4green      0.127977
5cyan       0.055272
6blue       0.161589
7purple     0.016646
8magenta    0.034849
Name: color, dtype: float64"
74,Mumbai,"0    0.077515
1    0.079114
2    0.082552
3    0.088150
4    0.098258
5    0.103757
6    0.106568
7    0.104788
8    0.108489
9    0.150808
Name: valbin, dtype: float64","0    0.256396
1    0.143092
2    0.122876
3    0.109503
4    0.095768
5    0.079757
6    0.064365
7    0.050333
8    0.039194
9    0.038716
Name: satbin, dtype: float64","1red        0.281014
2orange     0.256288
3yellow     0.069617
4green      0.105340
5cyan       0.056063
6blue       0.170793
7purple     0.020718
8magenta    0.040167
Name: color, dtype: float64"
75,Sydney,"0    0.097753
1    0.101048
2    0.096386
3    0.096785
4    0.098482
5    0.099366
6    0.098372
7    0.096855
8    0.090776
9    0.124176
Name: valbin, dtype: float64","0    0.200624
1    0.155162
2    0.139705
3    0.124905
4    0.106789
5    0.086356
6    0.068628
7    0.050020
8    0.035368
9    0.032444
Name: satbin, dtype: float64","1red        0.252040
2orange     0.268223
3yellow     0.057044
4green      0.071506
5cyan       0.051737
6blue       0.223236
7purple     0.027641
8magenta    0.048573
Name: color, dtype: float64"
76,Phnom Penh,"0    0.081220
1    0.090666
2    0.094029
3    0.095723
4    0.100010
5    0.100857
6    0.101884
7    0.100960
8    0.102654
9    0.131995
Name: valbin, dtype: float64","0    0.224304
1    0.159231
2    0.143418
3    0.116773
4    0.100293
5    0.078730
6    0.062814
7    0.045231
8    0.033961
9    0.035245
Name: satbin, dtype: float64","1red        0.255288
2orange     0.246381
3yellow     0.060350
4green      0.098188
5cyan       0.055832
6blue       0.210083
7purple     0.025875
8magenta    0.048003
Name: color, dtype: float64"
77,Bangkok,"0    0.080909
1    0.085234
2    0.084503
3    0.085964
4    0.090628
5    0.098280
6    0.103989
7    0.107872
8    0.107360
9    0.155260
Name: valbin, dtype: float64","0    0.258438
1    0.164300
2    0.137087
3    0.114600
4    0.093729
5    0.072942
6    0.057633
7    0.042841
8    0.030663
9    0.027765
Name: satbin, dtype: float64","1red        0.255444
2orange     0.254742
3yellow     0.059229
4green      0.088125
5cyan       0.057506
6blue       0.218781
7purple     0.024129
8magenta    0.042044
Name: color, dtype: float64"
78,Helsinki,"0    0.084918
1    0.093018
2    0.093168
3    0.096335
4    0.098977
5    0.103695
6    0.105211
7    0.104061
8    0.098861
9    0.121755
Name: valbin, dtype: float64","0    0.227616
1    0.157309
2    0.136415
3    0.115337
4    0.095952
5    0.078425
6    0.064840
7    0.051589
8    0.037162
9    0.035354
Name: satbin, dtype: float64","1red        0.257728
2orange     0.271138
3yellow     0.054964
4green      0.073533
5cyan       0.054889
6blue       0.212415
7purple     0.030245
8magenta    0.045088
Name: color, dtype: float64"
79,Sofia,"0    0.083671
1    0.090987
2    0.097325
3    0.097444
4    0.105293
5    0.121257
6    0.108995
7    0.100050
8    0.090721
9    0.104256
Name: valbin, dtype: float64","0    0.219530
1    0.158280
2    0.138554
3    0.118206
4    0.100080
5    0.078518
6    0.061754
7    0.046886
8    0.036638
9    0.041554
Name: satbin, dtype: float64","1red        0.237686
2orange     0.265498
3yellow     0.070254
4green      0.102953
5cyan       0.062139
6blue       0.202707
7purple     0.022154
8magenta    0.036608
Name: color, dtype: float64"
80,Stockholm,"0    0.092768
1    0.095323
2    0.091452
3    0.092275
4    0.093669
5    0.096469
6    0.098659
7    0.097756
8    0.094740
9    0.146888
Name: valbin, dtype: float64","0    0.234983
1    0.148324
2    0.130660
3    0.115411
4    0.100658
5    0.083006
6    0.067287
7    0.050194
8    0.036492
9    0.032985
Name: satbin, dtype: float64","1red        0.293220
2orange     0.279559
3yellow     0.049111
4green      0.059011
5cyan       0.045641
6blue       0.199643
7purple     0.026786
8magenta    0.047029
Name: color, dtype: float64"
