,city,val,sat,hue
12,Singapore,"0    0.078663
1    0.076474
2    0.080059
3    0.083417
4    0.091144
5    0.099142
6    0.105719
7    0.107882
8    0.110726
9    0.166773
Name: valbin, dtype: float64","0    0.297987
1    0.153405
2    0.126232
3    0.107368
4    0.088786
5    0.071329
6    0.054966
7    0.040095
8    0.029845
9    0.029986
Name: satbin, dtype: float64","1red        0.288291
2orange     0.252719
3yellow     0.063061
4green      0.097564
5cyan       0.053300
6blue       0.181362
7purple     0.023011
8magenta    0.040693
Name: color, dtype: float64"
13,Belgrade,"0    0.082947
1    0.085669
2    0.092221
3    0.096732
4    0.103185
5    0.109607
6    0.106168
7    0.101397
8    0.092619
9    0.129455
Name: valbin, dtype: float64","0    0.266664
1    0.155132
2    0.133088
3    0.113906
4    0.093025
5    0.073339
6    0.057530
7    0.042006
8    0.031886
9    0.033422
Name: satbin, dtype: float64","1red        0.263738
2orange     0.244938
3yellow     0.067837
4green      0.113874
5cyan       0.059611
6blue       0.188505
7purple     0.020694
8magenta    0.040803
Name: color, dtype: float64"
14,Guayaquil,"0    0.075760
1    0.080404
2    0.086546
3    0.091743
4    0.099856
5    0.106806
6    0.107347
7    0.106237
8    0.102468
9    0.142833
Name: valbin, dtype: float64","0    0.247270
1    0.148847
2    0.129034
3    0.113543
4    0.096147
5    0.077868
6    0.062949
7    0.048240
8    0.037170
9    0.038931
Name: satbin, dtype: float64","1red        0.267722
2orange     0.234401
3yellow     0.079536
4green      0.116132
5cyan       0.063358
6blue       0.178165
7purple     0.019780
8magenta    0.040906
Name: color, dtype: float64"
15,Amsterdam,"0    0.090925
1    0.098999
2    0.097767
3    0.100699
4    0.102341
5    0.101490
6    0.099174
7    0.097101
8    0.089461
9    0.122041
Name: valbin, dtype: float64","0    0.215197
1    0.158726
2    0.138327
3    0.118589
4    0.100091
5    0.082105
6    0.065487
7    0.049973
8    0.036824
9    0.034681
Name: satbin, dtype: float64","1red        0.272012
2orange     0.275622
3yellow     0.055773
4green      0.074845
5cyan       0.048118
6blue       0.200174
7purple     0.026332
8magenta    0.047124
Name: color, dtype: float64"
16,San Jose,"0    0.083851
1    0.084887
2    0.086658
3    0.090220
4    0.092611
5    0.097287
6    0.102722
7    0.103254
8    0.102190
9    0.156319
Name: valbin, dtype: float64","0    0.251423
1    0.142592
2    0.125857
3    0.112315
4    0.096927
5    0.079045
6    0.063828
7    0.049680
8    0.038727
9    0.039606
Name: satbin, dtype: float64","1red        0.294577
2orange     0.230305
3yellow     0.061682
4green      0.094290
5cyan       0.058602
6blue       0.196124
7purple     0.022118
8magenta    0.042302
Name: color, dtype: float64"
17,Panama City,"0    0.076475
1    0.080853
2    0.087847
3    0.093253
4    0.101157
5    0.109785
6    0.107485
7    0.104216
8    0.096825
9    0.142103
Name: valbin, dtype: float64","0    0.268398
1    0.154876
2    0.131700
3    0.112482
4    0.092284
5    0.072914
6    0.057631
7    0.041799
8    0.033976
9    0.033941
Name: satbin, dtype: float64","1red        0.260645
2orange     0.220540
3yellow     0.075973
4green      0.125956
5cyan       0.070579
6blue       0.188642
7purple     0.018704
8magenta    0.038961
Name: color, dtype: float64"
18,Amman,"0    0.092193
1    0.077151
2    0.079822
3    0.083574
4    0.090937
5    0.097456
6    0.100636
7    0.105088
8    0.108881
9    0.164263
Name: valbin, dtype: float64","0    0.286270
1    0.145317
2    0.123398
3    0.106551
4    0.088218
5    0.072261
6    0.057847
7    0.044602
8    0.034934
9    0.040603
Name: satbin, dtype: float64","1red        0.273939
2orange     0.234044
3yellow     0.079512
4green      0.137192
5cyan       0.052894
6blue       0.169812
7purple     0.017205
8magenta    0.035403
Name: color, dtype: float64"
19,Athens,"0    0.080031
1    0.085346
2    0.087513
3    0.094766
4    0.101480
5    0.111733
6    0.109364
7    0.102715
8    0.094629
9    0.132422
Name: valbin, dtype: float64","0    0.231981
1    0.152883
2    0.133273
3    0.116087
4    0.097794
5    0.080077
6    0.062013
7    0.048119
8    0.037345
9    0.040427
Name: satbin, dtype: float64","1red        0.258552
2orange     0.269903
3yellow     0.059589
4green      0.082812
5cyan       0.058071
6blue       0.207195
7purple     0.022107
8magenta    0.041772
Name: color, dtype: float64"
20,Caracas,"0    0.078181
1    0.082106
2    0.093088
3    0.102155
4    0.109941
5    0.111814
6    0.105822
7    0.098721
8    0.092288
9    0.125884
Name: valbin, dtype: float64","0    0.265627
1    0.164154
2    0.135284
3    0.112342
4    0.089727
5    0.070679
6    0.054747
7    0.041790
8    0.031968
9    0.033683
Name: satbin, dtype: float64","1red        0.258420
2orange     0.222829
3yellow     0.073688
4green      0.130163
5cyan       0.067469
6blue       0.196433
7purple     0.016915
8magenta    0.034083
Name: color, dtype: float64"
21,Warsaw,"0    0.081914
1    0.090786
2    0.091091
3    0.095953
4    0.099489
5    0.103834
6    0.106653
7    0.103620
8    0.096395
9    0.130264
Name: valbin, dtype: float64","0    0.229266
1    0.155202
2    0.133526
3    0.115891
4    0.093225
5    0.080040
6    0.065803
7    0.051536
8    0.037390
9    0.038122
Name: satbin, dtype: float64","1red        0.255575
2orange     0.261017
3yellow     0.064644
4green      0.087204
5cyan       0.058547
6blue       0.208399
7purple     0.022254
8magenta    0.042360
Name: color, dtype: float64"
22,Dublin,"0    0.095960
1    0.091940
2    0.089770
3    0.091530
4    0.094307
5    0.096980
6    0.096420
7    0.096152
8    0.094092
9    0.152849
Name: valbin, dtype: float64","0    0.255052
1    0.141094
2    0.123573
3    0.112196
4    0.097167
5    0.080771
6    0.065893
7    0.050111
8    0.037852
9    0.036289
Name: satbin, dtype: float64","1red        0.307011
2orange     0.246420
3yellow     0.055415
4green      0.073997
5cyan       0.047564
6blue       0.195172
7purple     0.026719
8magenta    0.047702
Name: color, dtype: float64"
23,Copenhagen,"0    0.086321
1    0.093402
2    0.091869
3    0.094220
4    0.096570
5    0.098747
6    0.101800
7    0.099403
8    0.096257
9    0.141411
Name: valbin, dtype: float64","0    0.245857
1    0.157616
2    0.132729
3    0.113297
4    0.096687
5    0.077865
6    0.060766
7    0.045822
8    0.033488
9    0.035874
Name: satbin, dtype: float64","1red        0.277280
2orange     0.265945
3yellow     0.051190
4green      0.067000
5cyan       0.046251
6blue       0.223704
7purple     0.026170
8magenta    0.042461
Name: color, dtype: float64"
24,Baghdad,"0    0.101452
1    0.077933
2    0.082915
3    0.088649
4    0.093778
5    0.099534
6    0.105109
7    0.108119
8    0.110217
9    0.132295
Name: valbin, dtype: float64","0    0.235252
1    0.143466
2    0.126582
3    0.112994
4    0.097382
5    0.081007
6    0.065564
7    0.051553
8    0.039343
9    0.046857
Name: satbin, dtype: float64","1red        0.259565
2orange     0.247228
3yellow     0.087811
4green      0.144579
5cyan       0.052613
6blue       0.160254
7purple     0.015464
8magenta    0.032485
Name: color, dtype: float64"
25,Baku,"0    0.082859
1    0.083794
2    0.085246
3    0.086472
4    0.092666
5    0.098279
6    0.101182
7    0.106457
8    0.106666
9    0.156379
Name: valbin, dtype: float64","0    0.257883
1    0.147894
2    0.128216
3    0.110409
4    0.092811
5    0.077730
6    0.061777
7    0.047777
8    0.035518
9    0.039986
Name: satbin, dtype: float64","1red        0.279304
2orange     0.254948
3yellow     0.064858
4green      0.093569
5cyan       0.053164
6blue       0.186122
7purple     0.024856
8magenta    0.043180
Name: color, dtype: float64"
26,Los Angeles,"0    0.098852
1    0.098428
2    0.094409
3    0.094526
4    0.094300
5    0.094383
6    0.093841
7    0.094245
8    0.091353
9    0.145663
Name: valbin, dtype: float64","0    0.228368
1    0.147928
2    0.135334
3    0.121440
4    0.104083
5    0.083430
6    0.064405
7    0.047756
8    0.033976
9    0.033279
Name: satbin, dtype: float64","1red        0.287668
2orange     0.247042
3yellow     0.050616
4green      0.068706
5cyan       0.045682
6blue       0.220043
7purple     0.029817
8magenta    0.050427
Name: color, dtype: float64"
27,Santiago,"0    0.085073
1    0.090397
2    0.089622
3    0.093510
4    0.098156
5    0.103688
6    0.104742
7    0.102442
8    0.098130
9    0.134240
Name: valbin, dtype: float64","0    0.220846
1    0.146996
2    0.130149
3    0.115055
4    0.099005
5    0.082294
6    0.067618
7    0.053171
8    0.043333
9    0.041533
Name: satbin, dtype: float64","1red        0.272539
2orange     0.256063
3yellow     0.066007
4green      0.093187
5cyan       0.056734
6blue       0.190386
7purple     0.021954
8magenta    0.043130
Name: color, dtype: float64"
28,Seoul,"0    0.081347
1    0.089507
2    0.092027
3    0.094050
4    0.100671
5    0.108179
6    0.112030
7    0.106667
8    0.097889
9    0.117632
Name: valbin, dtype: float64","0    0.235685
1    0.166642
2    0.137172
3    0.114570
4    0.094565
5    0.075811
6    0.061550
7    0.047245
8    0.035445
9    0.031315
Name: satbin, dtype: float64","1red        0.232801
2orange     0.292029
3yellow     0.065872
4green      0.095842
5cyan       0.058465
6blue       0.200845
7purple     0.019548
8magenta    0.034598
Name: color, dtype: float64"
29,Khartoum,"0    0.092710
1    0.067766
2    0.082004
3    0.085323
4    0.094422
5    0.104914
6    0.107162
7    0.104700
8    0.108554
9    0.152446
Name: valbin, dtype: float64","0    0.284766
1    0.137244
2    0.121186
3    0.103950
4    0.090997
5    0.076223
6    0.061771
7    0.044535
8    0.043678
9    0.035649
Name: satbin, dtype: float64","1red        0.264319
2orange     0.232844
3yellow     0.090247
4green      0.161011
5cyan       0.061021
6blue       0.146665
7purple     0.015844
8magenta    0.028048
Name: color, dtype: float64"
30,Budapest,"0    0.083539
1    0.093175
2    0.094700
3    0.099347
4    0.105431
5    0.107858
6    0.105120
7    0.101789
8    0.092894
9    0.116147
Name: valbin, dtype: float64","0    0.206421
1    0.159752
2    0.135330
3    0.117731
4    0.101227
5    0.082192
6    0.070396
7    0.052234
8    0.040038
9    0.034680
Name: satbin, dtype: float64","1red        0.243291
2orange     0.296902
3yellow     0.063084
4green      0.081600
5cyan       0.052264
6blue       0.199716
7purple     0.023001
8magenta    0.040142
Name: color, dtype: float64"
31,Accra,"0    0.085794
1    0.079525
2    0.086948
3    0.090350
4    0.098784
5    0.100093
6    0.102448
7    0.102900
8    0.102127
9    0.151031
Name: valbin, dtype: float64","0    0.269218
1    0.142514
2    0.125300
3    0.106088
4    0.092004
5    0.076931
6    0.062894
7    0.046121
8    0.036211
9    0.042718
Name: satbin, dtype: float64","1red        0.297185
2orange     0.220254
3yellow     0.058671
4green      0.115593
5cyan       0.055780
6blue       0.188290
7purple     0.022721
8magenta    0.041505
Name: color, dtype: float64"
32,Dhaka,"0    0.085721
1    0.084809
2    0.089615
3    0.095760
4    0.102573
5    0.108414
6    0.102026
7    0.101722
8    0.094664
9    0.134696
Name: valbin, dtype: float64","0    0.244449
1    0.150392
2    0.134331
3    0.114315
4    0.092900
5    0.075075
6    0.063819
7    0.049036
8    0.036807
9    0.038876
Name: satbin, dtype: float64","1red        0.253392
2orange     0.252844
3yellow     0.069599
4green      0.116445
5cyan       0.069964
6blue       0.185679
7purple     0.015635
8magenta    0.036442
Name: color, dtype: float64"
33,Dar es Salaam,"0    0.078930
1    0.078202
2    0.084751
3    0.095873
4    0.104466
5    0.106337
6    0.110460
7    0.103323
8    0.094869
9    0.142788
Name: valbin, dtype: float64","0    0.258757
1    0.148124
2    0.131215
3    0.108312
4    0.096705
5    0.078306
6    0.061328
7    0.044351
8    0.033817
9    0.039084
Name: satbin, dtype: float64","1red        0.279928
2orange     0.211635
3yellow     0.073767
4green      0.133918
5cyan       0.067392
6blue       0.174422
7purple     0.020096
8magenta    0.038841
Name: color, dtype: float64"
34,Casablanca,"0    0.079713
1    0.075428
2    0.080969
3    0.088751
4    0.095671
5    0.100448
6    0.106087
7    0.108796
8    0.111160
9    0.152975
Name: valbin, dtype: float64","0    0.258323
1    0.148616
2    0.122242
3    0.106211
4    0.093898
5    0.074222
6    0.060013
7    0.048414
8    0.038884
9    0.049178
Name: satbin, dtype: float64","1red        0.261008
2orange     0.237958
3yellow     0.076611
4green      0.110569
5cyan       0.061096
6blue       0.196119
7purple     0.018814
8magenta    0.037825
Name: color, dtype: float64"
35,Damascus,"0    0.089593
1    0.078724
2    0.077759
3    0.084557
4    0.085858
5    0.092488
6    0.104238
7    0.108645
8    0.116869
9    0.161267
Name: valbin, dtype: float64","0    0.262694
1    0.140201
2    0.121695
3    0.114268
4    0.093412
5    0.074906
6    0.059715
7    0.043642
8    0.040327
9    0.049140
Name: satbin, dtype: float64","1red        0.271297
2orange     0.227570
3yellow     0.082795
4green      0.132774
5cyan       0.049601
6blue       0.171968
7purple     0.021318
8magenta    0.042677
Name: color, dtype: float64"
36,Lagos,"0    0.093784
1    0.079093
2    0.089871
3    0.098250
4    0.103955
5    0.104100
6    0.103165
7    0.097684
8    0.095536
9    0.134562
Name: valbin, dtype: float64","0    0.258531
1    0.140386
2    0.128356
3    0.111162
4    0.096933
5    0.078829
6    0.063954
7    0.045482
8    0.037511
9    0.038855
Name: satbin, dtype: float64","1red        0.307096
2orange     0.230046
3yellow     0.066682
4green      0.116077
5cyan       0.053019
6blue       0.168054
7purple     0.019869
8magenta    0.039158
Name: color, dtype: float64"
37,Jakarta,"0    0.081184
1    0.085706
2    0.092313
3    0.098010
4    0.102450
5    0.106555
6    0.105774
7    0.103025
8    0.097476
9    0.127507
Name: valbin, dtype: float64","0    0.236851
1    0.165242
2    0.139919
3    0.116194
4    0.094485
5    0.074121
6    0.057959
7    0.045177
8    0.035298
9    0.034753
Name: satbin, dtype: float64","1red        0.246335
2orange     0.228507
3yellow     0.077041
4green      0.128673
5cyan       0.073202
6blue       0.183033
7purple     0.021979
8magenta    0.041231
Name: color, dtype: float64"
38,Barcelona,"0    0.081662
1    0.089424
2    0.090954
3    0.096912
4    0.100622
5    0.104502
6    0.104741
7    0.101308
8    0.096890
9    0.132986
Name: valbin, dtype: float64","0    0.222049
1    0.155463
2    0.136514
3    0.119350
4    0.100152
5    0.080303
6    0.065023
7    0.049296
8    0.037136
9    0.034715
Name: satbin, dtype: float64","1red        0.256217
2orange     0.272565
3yellow     0.062582
4green      0.086767
5cyan       0.056404
6blue       0.200380
7purple     0.023113
8magenta    0.041972
Name: color, dtype: float64"
39,Toronto,"0    0.129036
1    0.100866
2    0.094444
3    0.094295
4    0.094535
5    0.096531
6    0.097111
7    0.093746
8    0.087013
9    0.112422
Name: valbin, dtype: float64","0    0.236279
1    0.152639
2    0.131868
3    0.116692
4    0.099889
5    0.082054
6    0.065019
7    0.049167
8    0.035735
9    0.030657
Name: satbin, dtype: float64","1red        0.299056
2orange     0.263863
3yellow     0.051073
4green      0.068204
5cyan       0.046520
6blue       0.198746
7purple     0.026431
8magenta    0.046107
Name: color, dtype: float64"
40,Santo Domingo,"0    0.076287
1    0.082831
2    0.087906
3    0.094940
4    0.099382
5    0.104049
6    0.105976
7    0.103906
8    0.100757
9    0.143966
Name: valbin, dtype: float64","0    0.237933
1    0.150638
2    0.130027
3    0.115562
4    0.097098
5    0.079408
6    0.063982
7    0.047666
8    0.037606
9    0.040080
Name: satbin, dtype: float64","1red        0.272256
2orange     0.234544
3yellow     0.070151
4green      0.104631
5cyan       0.062303
6blue       0.186042
7purple     0.023529
8magenta    0.046544
Name: color, dtype: float64"
41,Dubai,"0    0.087224
1    0.085170
2    0.084797
3    0.087308
4    0.094327
5    0.098047
6    0.103159
7    0.106836
8    0.106363
9    0.146770
Name: valbin, dtype: float64","0    0.237094
1    0.156459
2    0.133510
3    0.114270
4    0.095288
5    0.078760
6    0.062993
7    0.048135
8    0.036209
9    0.037281
Name: satbin, dtype: float64","1red        0.260074
2orange     0.263689
3yellow     0.062683
4green      0.091831
5cyan       0.055375
6blue       0.198473
7purple     0.023642
8magenta    0.044232
Name: color, dtype: float64"
42,Nairobi,"0    0.071938
1    0.078540
2    0.088148
3    0.095683
4    0.103912
5    0.111770
6    0.108835
7    0.100475
8    0.097001
9    0.143698
Name: valbin, dtype: float64","0    0.267102
1    0.153899
2    0.126555
3    0.111817
4    0.093534
5    0.075343
6    0.061043
7    0.045026
8    0.033654
9    0.032028
Name: satbin, dtype: float64","1red        0.267380
2orange     0.238095
3yellow     0.069642
4green      0.129052
5cyan       0.060650
6blue       0.187160
7purple     0.016472
8magenta    0.031550
Name: color, dtype: float64"
43,Cape Town,"0    0.077979
1    0.090548
2    0.094170
3    0.098092
4    0.101445
5    0.104178
6    0.104767
7    0.103819
8    0.097701
9    0.127301
Name: valbin, dtype: float64","0    0.220496
1    0.155412
2    0.133532
3    0.120347
4    0.102163
5    0.083503
6    0.066187
7    0.049343
8    0.035194
9    0.033822
Name: satbin, dtype: float64","1red        0.255577
2orange     0.265108
3yellow     0.063755
4green      0.088646
5cyan       0.053747
6blue       0.206850
7purple     0.023021
8magenta    0.043294
Name: color, dtype: float64"
44,Beijing,"0    0.080732
1    0.087163
2    0.090336
3    0.094023
4    0.102384
5    0.102770
6    0.102084
7    0.107143
8    0.103499
9    0.129866
Name: valbin, dtype: float64","0    0.220717
1    0.159106
2    0.140799
3    0.118119
4    0.098439
5    0.079317
6    0.062639
7    0.045361
8    0.036700
9    0.038801
Name: satbin, dtype: float64","1red        0.248971
2orange     0.282756
3yellow     0.058395
4green      0.077860
5cyan       0.052650
6blue       0.214714
7purple     0.022509
8magenta    0.042145
Name: color, dtype: float64"
45,Paris,"0    0.089272
1    0.094787
2    0.093073
3    0.094193
4    0.095435
5    0.097293
6    0.097347
7    0.098478
8    0.096500
9    0.143623
Name: valbin, dtype: float64","0    0.243892
1    0.152081
2    0.130899
3    0.114860
4    0.097374
5    0.078727
6    0.063913
7    0.048048
8    0.035773
9    0.034433
Name: satbin, dtype: float64","1red        0.281125
2orange     0.260344
3yellow     0.056116
4green      0.069647
5cyan       0.047627
6blue       0.208610
7purple     0.027962
8magenta    0.048568
Name: color, dtype: float64"
46,Buenos Aires,"0    0.086182
1    0.090612
2    0.094628
3    0.098554
4    0.106070
5    0.109572
6    0.106068
7    0.099909
8    0.091391
9    0.117013
Name: valbin, dtype: float64","0    0.222874
1    0.155252
2    0.136926
3    0.118227
4    0.099410
5    0.080221
6    0.063697
7    0.048850
8    0.037531
9    0.037012
Name: satbin, dtype: float64","1red        0.249864
2orange     0.249130
3yellow     0.074294
4green      0.111900
5cyan       0.068801
6blue       0.185999
7purple     0.020530
8magenta    0.039481
Name: color, dtype: float64"
47,Almaty,"0    0.072647
1    0.085537
2    0.086354
3    0.087645
4    0.089886
5    0.094130
6    0.101141
7    0.103777
8    0.105491
9    0.173393
Name: valbin, dtype: float64","0    0.270554
1    0.145030
2    0.126816
3    0.113399
4    0.094631
5    0.073622
6    0.060100
7    0.042781
8    0.034320
9    0.038748
Name: satbin, dtype: float64","1red        0.287266
2orange     0.232543
3yellow     0.066241
4green      0.088252
5cyan       0.057121
6blue       0.199963
7purple     0.024989
8magenta    0.043625
Name: color, dtype: float64"
48,Rome,"0    0.076794
1    0.086257
2    0.088567
3    0.093414
4    0.098884
5    0.102811
6    0.104120
7    0.104404
8    0.100995
9    0.143755
Name: valbin, dtype: float64","0    0.239036
1    0.154710
2    0.135105
3    0.116869
4    0.098127
5    0.079384
6    0.062316
7    0.046569
8    0.034726
9    0.033159
Name: satbin, dtype: float64","1red        0.266548
2orange     0.288160
3yellow     0.057492
4green      0.074260
5cyan       0.047726
6blue       0.200791
7purple     0.023342
8magenta    0.041681
Name: color, dtype: float64"
49,Lima,"0    0.078933
1    0.085901
2    0.088207
3    0.092470
4    0.097541
5    0.101638
6    0.104305
7    0.103227
8    0.101669
9    0.146110
Name: valbin, dtype: float64","0    0.249584
1    0.148322
2    0.131231
3    0.113106
4    0.094636
5    0.078259
6    0.062265
7    0.047421
8    0.035784
9    0.039391
Name: satbin, dtype: float64","1red        0.273489
2orange     0.239623
3yellow     0.070913
4green      0.103691
5cyan       0.063362
6blue       0.179380
7purple     0.023617
8magenta    0.045926
Name: color, dtype: float64"
50,Bogota,"0    0.080233
1    0.080532
2    0.084988
3    0.088408
4    0.094507
5    0.100438
6    0.103387
7    0.103990
8    0.102717
9    0.160801
Name: valbin, dtype: float64","0    0.274280
1    0.146217
2    0.123726
3    0.108484
4    0.089543
5    0.074172
6    0.060056
7    0.047364
8    0.036768
9    0.039389
Name: satbin, dtype: float64","1red        0.284465
2orange     0.219738
3yellow     0.070202
4green      0.111099
5cyan       0.058798
6blue       0.190595
7purple     0.022392
8magenta    0.042711
Name: color, dtype: float64"
51,Manila,"0    0.075834
1    0.080129
2    0.082536
3    0.083989
4    0.088584
5    0.094381
6    0.100284
7    0.105794
8    0.110680
9    0.177789
Name: valbin, dtype: float64","0    0.285551
1    0.147496
2    0.127814
3    0.112331
4    0.093253
5    0.072964
6    0.057159
7    0.041992
8    0.030786
9    0.030653
Name: satbin, dtype: float64","1red        0.301437
2orange     0.235358
3yellow     0.059601
4green      0.086773
5cyan       0.057389
6blue       0.184072
7purple     0.027365
8magenta    0.048005
Name: color, dtype: float64"
52,Bucharest,"0    0.099159
1    0.091428
2    0.094222
3    0.093260
4    0.098972
5    0.100400
6    0.101549
7    0.096240
8    0.096923
9    0.127845
Name: valbin, dtype: float64","0    0.238335
1    0.146720
2    0.128465
3    0.112974
4    0.098941
5    0.077054
6    0.061904
7    0.048213
8    0.038745
9    0.048648
Name: satbin, dtype: float64","1red        0.272485
2orange     0.254882
3yellow     0.065381
4green      0.085468
5cyan       0.057434
6blue       0.203595
7purple     0.021576
8magenta    0.039179
Name: color, dtype: float64"
