Center,Country,lat,lon,tweet20111,tweet20112,tweet20113,tweet20114,tweet20115,tweet20116,tweet20117,tweet20118,tweet20119,tweet201110,tweet201111,tweet201112,tweet20121,tweet20122,tweet20123,tweet20124,tweet20125,tweet20126,tweet20127,tweet20128,tweet20129,tweet201210,tweet201211,tweet201212,tweet20131,tweet20132,tweet20133,tweet20134,tweet20135,tweet20136,tweet20137,tweet20138,tweet20139,tweet201310,tweet201311,tweet201312,tweet20141,tweet20142,tweet20143,tweet20144,tweet20145,tweet20146,tweet20147,tweet20148,tweet20149,tweet201410,tweet201411,tweet201412,actor20111,actor20112,actor20113,actor20114,actor20115,actor20116,actor20117,actor20118,actor20119,actor201110,actor201111,actor201112,actor20121,actor20122,actor20123,actor20124,actor20125,actor20126,actor20127,actor20128,actor20129,actor201210,actor201211,actor201212,actor20131,actor20132,actor20133,actor20134,actor20135,actor20136,actor20137,actor20138,actor20139,actor201310,actor201311,actor201312,actor20141,actor20142,actor20143,actor20144,actor20145,actor20146,actor20147,actor20148,actor20149,actor201410,actor201411,actor201412
Kumasi,Ghana,6.6666004,-1.6162709,0,0,0,0,0,0,0,0,0,2,3,15,7,6,8,26,13,5,42,99,98,106,166,304,160,187,223,171,109,131,119,454,317,331,439,721,901,922,1268,1009,986,785,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,6,6,8,7,8,3,19,35,37,49,46,70,64,54,77,53,64,56,62,47,88,109,117,200,159,142,182,156,164,175,87,0,0,0,0,0
Coimbatore,India,11.016844500000001,76.9558321,0,0,0,0,0,0,0,0,0,1,3,10,8,10,7,41,18,31,41,47,18,37,29,56,39,32,43,82,97,122,98,51,44,45,100,180,236,148,94,219,265,340,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,4,6,6,16,12,12,25,34,12,18,18,33,23,19,26,32,32,26,27,23,27,31,47,71,72,49,47,59,89,69,44,0,0,0,0,0
Amman,Jordan,31.9565783,35.9456951,0,0,0,0,0,0,0,0,0,12,14,29,47,45,63,60,85,213,278,336,382,378,358,451,550,637,664,737,1319,1013,1213,1089,1659,1867,2821,4882,4069,2231,3798,4663,4832,5123,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,17,21,29,40,38,50,81,103,117,136,158,165,178,208,184,205,201,240,263,280,278,366,478,536,817,704,447,562,620,726,795,478,0,0,0,0,0
Linyi,China,35.104673999999996,118.35641399999999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,15,1,0,3,6,4,4,3,1,1,2,1,4,9,2,1,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,2,1,0,2,1,2,2,3,1,1,1,1,2,5,2,1,3,2,4,0,0,0,0,0
Port au Prince,Haiti,18.594395000000002,-72.30743259999998,0,0,0,0,0,0,0,0,0,4,3,4,3,6,12,7,8,5,22,56,73,81,54,72,145,199,287,192,165,239,200,203,166,194,185,274,321,233,284,283,187,304,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,4,5,6,6,5,11,17,27,32,27,37,58,53,53,50,46,63,62,53,52,64,78,74,98,67,93,92,83,98,56,0,0,0,0,0
Abuja,Nigeria,9.0764785,7.398574000000001,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,13,45,50,116,259,235,156,165,397,390,517,503,328,282,335,483,518,701,607,524,1246,945,749,1065,1154,1619,1494,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,12,18,36,60,72,63,57,106,107,104,100,113,94,95,137,136,179,128,150,239,202,129,140,174,191,193,146,0,0,0,0,0
Shantou,China,23.354091,116.681972,0,0,0,0,0,0,0,0,0,2,2,9,5,3,1,1,4,4,6,2,15,8,1,2,3,22,6,10,4,6,23,10,11,23,12,19,6,9,25,20,16,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,3,1,1,3,3,4,2,5,5,1,1,2,5,5,8,3,3,6,6,6,7,6,12,6,5,9,9,6,6,7,0,0,0,0,0
Indore,India,22.7195687,75.8577258,0,0,0,0,0,0,0,0,0,4,6,13,19,9,13,5,11,13,32,29,65,45,50,70,41,37,32,44,25,65,46,69,83,130,475,271,300,205,318,562,386,300,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,6,7,4,7,7,17,20,22,29,20,26,22,25,15,26,18,24,23,28,47,43,64,116,96,60,63,104,117,115,64,0,0,0,0,0
Antananarivo,Madagascar,-18.8791902,47.5079055,0,0,0,0,0,0,0,0,0,1,6,1,2,0,4,41,16,3,5,19,7,15,7,43,31,37,27,32,19,12,18,12,38,59,38,76,86,51,270,333,157,113,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,2,4,7,3,5,8,5,8,5,15,15,11,15,11,9,7,12,10,21,19,15,28,26,27,41,54,42,44,28,0,0,0,0,0
Kozhikode,India,11.2587531,75.78041,0,0,0,0,0,0,0,0,0,1,2,5,7,5,3,5,8,5,19,33,5,10,27,15,24,13,9,10,8,9,11,16,11,18,26,33,31,48,17,54,74,71,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,3,3,4,5,5,12,12,4,5,11,11,7,6,9,9,6,9,7,11,6,13,15,19,19,17,15,24,39,25,16,0,0,0,0,0
Isfahan,Iran,32.654627500000004,51.6679826,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,2,0,0,0,3,2,7,4,0,1,1,0,1,4,1,2,45,29,32,66,17,12,34,34,75,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,2,2,4,2,0,1,1,0,1,3,1,2,3,9,16,18,7,6,13,13,21,12,0,0,0,0,0
Chaoyang,China,41.57365,120.44938799999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,1,1,0,0,0,0,0
Daegu,South Korea,35.871435399999996,128.60144499999998,0,0,0,0,0,0,0,0,0,101,103,250,309,339,292,302,327,340,469,433,397,762,746,946,1259,870,1107,703,986,848,1008,780,952,1156,1209,3894,2968,1342,1339,1401,2089,2019,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,54,139,162,142,119,132,129,125,140,207,184,257,247,326,307,286,218,215,268,223,210,190,234,283,314,675,534,255,293,268,348,330,185,0,0,0,0,0
Tangshan,China,39.630866999999995,118.180194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,6,0,1,2,5,11,1,2,0,20,15,4,0,7,14,10,7,4,3,27,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,3,0,1,2,2,1,1,2,0,7,3,4,0,2,10,6,6,2,3,9,6,6,0,0,0,0,0
