Center,Country,lat,lon,tweet20111,tweet20112,tweet20113,tweet20114,tweet20115,tweet20116,tweet20117,tweet20118,tweet20119,tweet201110,tweet201111,tweet201112,tweet20121,tweet20122,tweet20123,tweet20124,tweet20125,tweet20126,tweet20127,tweet20128,tweet20129,tweet201210,tweet201211,tweet201212,tweet20131,tweet20132,tweet20133,tweet20134,tweet20135,tweet20136,tweet20137,tweet20138,tweet20139,tweet201310,tweet201311,tweet201312,tweet20141,tweet20142,tweet20143,tweet20144,tweet20145,tweet20146,tweet20147,tweet20148,tweet20149,tweet201410,tweet201411,tweet201412,actor20111,actor20112,actor20113,actor20114,actor20115,actor20116,actor20117,actor20118,actor20119,actor201110,actor201111,actor201112,actor20121,actor20122,actor20123,actor20124,actor20125,actor20126,actor20127,actor20128,actor20129,actor201210,actor201211,actor201212,actor20131,actor20132,actor20133,actor20134,actor20135,actor20136,actor20137,actor20138,actor20139,actor201310,actor201311,actor201312,actor20141,actor20142,actor20143,actor20144,actor20145,actor20146,actor20147,actor20148,actor20149,actor201410,actor201411,actor201412
San Juan,Puerto Rico,18.465539399999997,-66.1057355,0,0,0,0,0,0,0,0,12,84,217,335,397,356,468,400,378,430,458,583,541,802,754,809,1017,753,925,1209,1650,1752,1767,2120,1737,1727,2510,3859,4363,3577,4781,4401,5239,5223,2081,0,0,0,0,0,0,0,0,0,0,0,0,0,7,55,108,182,181,200,220,217,206,220,224,259,250,312,339,407,459,371,447,501,591,674,677,701,664,683,893,1291,1309,1143,1485,1378,1479,1617,835,0,0,0,0,0
Havana,Cuba,23.1135925,-82.36659559999998,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,2,8,2,4,3,2,18,20,9,7,20,27,10,11,3,7,12,9,8,16,20,71,115,154,228,291,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,3,1,4,3,2,4,5,6,5,2,8,6,8,3,7,7,7,6,8,13,15,15,22,33,28,24,14,0,0,0,0,0
Mogadishu,Somalia,2.0469343,45.3181623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,4,1,6,6,17,3,10,17,14,31,23,22,27,19,27,92,122,127,360,187,50,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,4,1,3,3,1,2,5,6,3,11,11,7,7,11,14,15,10,8,20,28,16,15,0,0,0,0,0
Gujranwala,Pakistan,32.1543783,74.1842254,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,62,5,25,36,27,16,12,36,19,33,18,23,55,61,33,30,59,142,92,173,235,123,201,176,191,278,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,3,1,6,4,13,5,4,8,8,13,13,9,17,20,15,13,17,27,27,47,52,34,37,27,40,65,45,0,0,0,0,0
Goiania,Brazil,-16.686891199999998,-49.2647943,0,0,0,0,0,0,0,0,6,224,365,538,563,708,751,585,601,823,798,955,1039,1210,1488,1432,1383,1268,1552,1780,2568,3000,3054,3539,3290,3236,4107,4869,5587,5743,6490,6737,6787,8095,3565,0,0,0,0,0,0,0,0,0,0,0,0,0,4,78,118,174,174,216,235,219,200,239,259,318,363,352,377,436,466,393,408,449,499,567,575,589,655,657,783,1019,1106,1081,1196,1257,1268,1443,914,0,0,0,0,0
Santa Cruz de la Sierra,Bolivia,-17.8145819,-63.1560853,0,0,0,0,0,0,0,0,0,5,7,7,13,14,25,23,39,51,99,53,100,101,94,95,182,131,162,171,182,150,138,200,301,307,240,580,691,588,913,752,870,1178,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,7,10,15,19,21,25,40,36,45,53,39,55,66,52,65,54,71,71,73,77,101,103,112,223,226,165,176,181,226,267,176,0,0,0,0,0
Malappuram,India,11.0731819,76.0739999,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,10,8,0,6,1,1,1,3,6,1,1,5,11,7,2,2,7,1,4,4,5,11,5,6,5,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,3,1,1,1,2,3,1,1,3,1,3,2,2,6,1,3,3,3,4,5,4,4,6,1,0,0,0,0,0
Cologne,Germany,50.937531,6.9602786,0,0,0,0,0,0,0,0,29,220,296,287,337,393,351,336,481,538,527,1007,862,639,568,738,785,628,832,780,677,1080,1032,1747,1209,1078,1258,1456,1479,1726,2518,2326,2756,2544,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,10,97,115,126,137,130,183,172,196,215,224,341,356,244,276,281,249,227,286,291,309,392,374,559,472,475,494,598,515,504,735,748,884,803,442,0,0,0,0,0
Brussels,Belgium,50.8503396,4.3517103,0,0,0,0,0,0,0,0,6,231,403,598,442,675,768,729,1012,986,885,976,1137,1570,2034,1899,2155,1751,2318,2103,2501,2460,2773,2900,2941,3869,4055,5935,5275,5536,6843,7153,7295,7552,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,4,132,204,273,235,337,392,340,476,478,423,478,541,707,828,805,705,742,774,808,913,983,928,903,1107,1284,1488,1841,1551,1728,2137,2120,2165,2237,1129,0,0,0,0,0
Puebla,Mexico,19.0412967,-98.20619959999999,0,0,0,0,0,0,0,0,4,274,371,461,604,682,881,1150,1251,1233,1456,1833,2406,2654,2829,3299,3774,4001,4632,5395,7009,9836,6073,5600,6203,6791,6661,7716,9446,8061,9503,10957,11903,12720,5575,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105,154,198,280,285,338,408,452,498,630,684,857,1021,1054,1143,1264,1255,1295,1392,1561,1981,1812,1547,1711,1786,2072,2483,2536,2295,2648,2942,2972,3065,1746,0,0,0,0,0
Hamburg,Germany,53.5510846,9.993681800000001,0,0,0,0,0,0,0,0,15,282,322,377,341,409,383,369,532,556,607,729,797,876,734,876,675,706,695,891,1008,988,1018,1161,1200,909,1193,1703,1617,2083,2511,3355,3009,2904,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,7,125,139,173,155,200,195,201,259,254,260,346,307,326,319,372,299,305,319,365,429,404,428,449,466,374,546,715,577,610,764,822,946,960,546,0,0,0,0,0
Bhopal,India,23.2599333,77.412615,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,14,8,7,1,10,20,24,15,14,25,27,30,19,22,30,28,40,126,75,124,143,66,129,175,119,339,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,9,5,7,1,9,9,15,12,11,17,17,18,14,12,10,13,21,26,22,53,44,35,51,53,49,76,41,0,0,0,0,0
Kannur,India,11.8744775,75.3703662,0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,1,0,1,1,3,2,8,11,12,5,1,7,5,6,30,3,13,47,63,13,60,30,5,30,9,13,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,2,4,6,9,4,1,4,3,3,7,3,6,4,10,7,11,5,5,9,7,6,9,4,0,0,0,0,0
Orlando,United States,28.5383355,-81.3792365,0,0,0,0,0,0,0,0,4,179,268,384,444,577,535,482,474,516,424,603,817,803,1061,1147,1167,881,1122,1158,1530,1428,1854,1963,1989,2261,2655,3515,4653,4436,5673,4631,4996,4770,2058,0,0,0,0,0,0,0,0,0,0,0,0,0,3,91,144,211,259,298,314,289,247,289,234,287,301,389,445,507,599,448,508,497,500,520,566,599,616,720,1143,1401,1471,1252,1849,1546,1379,1464,825,0,0,0,0,0
Maracaibo,Venezuela,10.6544509,-71.71479509999999,0,0,0,0,0,0,0,0,0,5,0,0,4,13,4,6,19,48,167,250,290,507,232,454,574,583,818,1313,812,825,912,1056,1050,1362,1565,3310,2768,2029,2017,2410,1767,1521,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,2,5,8,13,34,66,61,108,102,139,159,166,236,306,228,247,228,222,271,307,347,632,549,443,349,295,287,324,245,0,0,0,0,0
Mbuji-Mayi,Democratic Republic of the Congo,-6.1306709,23.596657699999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0
Lubumbashi,Democratic Republic of the Congo,-11.6876026,27.5026174,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,5,10,5,1,12,15,10,32,12,31,8,11,31,8,17,33,35,30,37,55,48,191,67,63,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,3,3,4,1,9,6,5,12,8,8,6,6,6,7,7,14,12,16,20,14,14,25,18,24,11,0,0,0,0,0
Handan,China,36.625657000000004,114.53896200000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,8,0,0,0,0,1,1,1,4,0,2,2,0,0,1,4,3,2,3,2,6,8,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,1,1,1,0,1,1,0,0,1,3,3,2,3,1,2,4,1,4,3,0,0,0,0,0
Brisbane,Australia,-27.4710107,153.0234489,0,0,0,0,0,0,0,0,23,331,423,517,553,605,788,639,720,792,747,1055,1158,1033,1322,1367,1358,1162,1599,1519,1537,1632,1590,1772,1809,1793,2483,2210,2199,2323,2842,3495,4378,3456,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,9,176,207,259,249,298,356,322,357,364,374,445,444,438,525,479,504,427,462,491,505,662,609,693,699,690,841,834,843,768,976,1074,1143,1106,623,0,0,0,0,0
Tunis,Tunisia,36.806494799999996,10.1815316,0,0,0,0,0,0,0,0,0,47,32,64,70,28,46,68,147,127,130,86,181,125,195,181,390,278,452,268,207,174,273,424,293,177,303,339,308,330,660,587,568,557,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,19,20,14,20,19,42,23,34,31,38,45,61,59,61,72,76,54,52,62,71,76,75,78,93,117,109,100,141,171,165,149,87,0,0,0,0,0
Haikou,China,20.044002,110.19829299999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,2,0,1,2,1,1,0,2,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,1,1,1,1,0,1,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0
Munich,Germany,48.1351253,11.5819806,0,0,0,0,0,0,0,0,59,324,382,390,504,402,516,571,885,761,1075,1151,1155,1385,1149,1213,984,908,1262,1070,2158,2472,2304,2440,1985,1915,1631,2194,2168,2650,3593,3485,3331,3478,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,18,151,169,189,220,212,269,274,352,360,433,450,522,530,441,479,419,388,434,460,507,681,655,748,751,754,634,863,818,832,1058,1100,1106,1249,793,0,0,0,0,0
Kitakyushu,Japan,33.8834093,130.8752161,0,0,0,0,0,0,0,0,1,79,99,151,120,157,118,158,200,144,210,226,202,466,586,557,616,454,461,676,859,747,895,1081,847,1114,1399,2235,2360,2262,2971,2746,3091,3352,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,51,64,71,73,75,101,81,81,100,139,115,157,164,130,166,137,181,141,185,183,240,307,297,256,377,565,540,445,682,534,647,719,395,0,0,0,0,0
Belem,Brazil,-1.4557548999999999,-48.4901799,0,0,0,0,0,0,0,0,2,200,451,563,655,625,722,718,729,765,632,925,1064,1204,1291,1464,1920,1751,2277,2190,3007,3569,3434,4833,4369,4733,5551,8386,9142,7278,8087,8848,8959,11214,6169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,123,154,187,212,217,200,228,229,238,297,337,422,395,486,477,446,543,535,569,595,576,685,779,903,1009,1420,1415,1376,1547,1606,1699,1857,1258,0,0,0,0,0
Portland,United States,45.523062200000005,-122.67648159999999,0,0,0,0,0,0,0,0,17,519,785,796,975,879,1056,1406,1309,1380,1683,1608,1845,2070,1752,1714,1901,1482,2066,2421,3161,3260,3769,3324,3591,3650,3991,5557,6111,6600,8688,8517,10015,9878,4653,0,0,0,0,0,0,0,0,0,0,0,0,0,9,248,357,399,445,451,544,623,608,647,749,799,864,820,757,848,848,760,915,1010,1155,1236,1419,1373,1357,1403,1663,2150,2177,2167,2973,2968,3209,3201,1845,0,0,0,0,0
San Antonio,United States,29.4241219,-98.4936282,0,0,0,0,0,0,0,0,14,133,188,331,401,408,652,699,518,660,755,866,892,1070,1563,1587,1798,1357,2152,2729,2110,2732,2746,2368,3189,3536,4296,6264,7502,6935,8241,8664,8253,8494,4186,0,0,0,0,0,0,0,0,0,0,0,0,0,5,88,101,175,215,228,338,357,289,370,415,427,434,535,678,675,701,544,819,778,765,1027,1010,905,888,972,1264,1841,1759,1770,2460,2241,1937,2482,1347,0,0,0,0,0
Tijuana,Mexico,32.5149469,-117.03824709999999,0,0,0,0,0,0,0,0,3,52,96,120,144,168,210,323,246,250,362,419,481,574,578,783,668,556,630,856,798,917,1080,1201,1144,1268,1353,1830,2267,2093,2405,2326,2559,3263,1814,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,53,60,69,89,80,103,110,120,180,154,161,197,212,257,222,214,240,247,297,335,394,396,374,358,437,586,597,585,696,737,692,772,465,0,0,0,0,0
Vadodara,India,22.307158800000003,73.1812187,0,0,0,0,0,0,0,0,0,4,0,19,8,29,17,12,9,25,50,50,53,48,47,124,93,57,74,94,84,94,179,186,243,275,409,589,513,250,240,498,618,739,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,13,10,8,9,19,27,25,31,29,27,51,38,27,22,33,43,32,50,36,75,49,85,144,135,68,86,146,132,138,75,0,0,0,0,0
Lome,Togo,6.1724969000000005,1.2313618,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,9,2,0,10,10,11,4,14,3,13,23,34,67,71,71,63,31,54,30,105,73,31,49,38,85,90,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,4,6,5,4,10,2,8,12,12,17,18,18,26,16,20,18,43,25,17,23,24,27,39,19,0,0,0,0,0
Luoyang,China,34.619683,112.45403999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,2,0,1,0,4,5,4,6,3,1,8,3,3,1,2,1,8,5,3,4,0,5,4,29,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,0,3,2,3,4,2,1,4,2,2,1,2,1,6,3,2,3,0,5,3,8,8,2,0,0,0,0,0
Agra,India,27.1766701,78.0080745,0,0,0,0,0,0,0,0,0,15,27,22,14,24,28,19,14,9,28,23,34,27,36,49,63,40,46,15,28,30,31,56,63,141,156,226,178,104,134,233,774,1083,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,10,16,19,11,9,8,12,19,25,18,30,26,26,24,28,9,15,21,24,33,31,34,42,65,60,56,61,53,61,55,32,0,0,0,0,0
Conakry,Guinea,9.641185499999999,-13.578401199999998,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,5,19,15,20,25,70,75,133,47,73,33,22,58,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,3,4,10,11,12,25,22,35,15,26,12,14,19,20,0,0,0,0,0
Kampala,Uganda,0.3475964,32.5825197,0,0,0,0,0,0,0,0,0,8,26,11,34,36,25,32,47,53,99,112,299,201,267,271,348,293,398,268,270,317,433,599,537,459,537,1407,1250,647,800,1290,1330,1364,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,15,14,13,23,19,22,47,45,66,75,92,100,78,106,127,103,110,122,121,134,182,210,209,379,309,198,260,332,333,377,267,0,0,0,0,0
Thiruvananthapuram,India,8.524139100000001,76.9366376,0,0,0,0,0,0,0,0,0,11,21,23,20,12,30,28,51,32,18,18,45,33,51,26,37,18,36,51,43,63,39,27,19,54,95,137,130,101,81,160,168,332,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,14,8,13,8,11,11,9,12,12,16,23,20,19,9,12,16,20,23,22,22,17,29,44,72,52,32,42,62,62,62,29,0,0,0,0,0
Frankfurt,Germany,50.1109221,8.6821267,0,0,0,0,0,0,0,0,38,187,274,341,276,368,352,423,652,451,566,568,679,807,704,573,561,577,671,769,1330,1503,1632,821,1468,1192,1089,1222,1148,1291,1851,1510,1895,2044,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,17,108,111,138,132,145,173,191,222,226,191,232,268,305,282,286,205,221,290,312,279,345,360,344,505,440,403,495,420,502,620,622,751,737,426,0,0,0,0,0
Visakhapatnam,India,17.6868159,83.2184815,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,0,4,3,1,1,2,3,1,2,4,1,2,1,2,13,11,128,104,12,6,188,114,165,314,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,3,3,1,1,2,2,1,2,4,1,2,1,2,6,4,5,13,8,4,10,10,6,10,7,0,0,0,0,0
Minsk,Belarus,53.904539799999995,27.5615244,0,0,0,0,0,0,0,0,16,212,256,455,508,495,688,701,793,993,903,999,1459,1642,1767,2405,2508,2145,2564,2967,3059,3148,2414,2905,4832,4768,5465,8884,8513,8540,11564,10808,13161,11800,4681,0,0,0,0,0,0,0,0,0,0,0,0,0,4,54,66,116,136,146,191,232,259,305,288,330,436,447,507,582,554,582,630,574,698,707,644,713,991,1167,1230,1657,1407,1445,1675,1730,2158,2015,1224,0,0,0,0,0
La Paz,Bolivia,-16.489689000000002,-68.11929359999999,0,0,0,0,0,0,0,0,0,20,38,39,19,42,21,29,85,72,62,51,83,79,85,129,76,80,88,127,83,111,69,167,356,227,266,448,576,678,880,785,992,720,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,14,12,30,13,13,26,34,32,27,27,34,41,53,47,49,41,56,41,50,40,65,83,84,105,172,196,164,154,208,241,252,165,0,0,0,0,0
Multan,Pakistan,30.198380699999998,71.46870279999999,0,0,0,0,0,0,0,0,0,0,2,3,1,1,6,8,9,10,16,73,61,58,72,134,168,23,26,124,73,70,67,35,41,63,144,247,213,144,99,177,300,355,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,4,3,5,8,7,9,8,12,6,7,6,13,14,12,17,19,20,20,29,60,61,43,37,45,45,65,42,0,0,0,0,0
Manaus,Brazil,-3.1190275,-60.0217314,0,0,0,0,0,0,0,0,2,144,265,330,343,323,420,480,507,550,631,769,903,1129,1187,1433,1467,1555,1832,2385,2616,2789,3160,2348,2722,3371,4035,6251,7288,6197,7520,7956,8907,12707,6829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,81,112,113,116,153,185,193,213,240,287,356,395,410,479,495,490,520,553,546,598,593,581,722,813,1019,1529,1483,1362,1468,1605,1833,2490,1552,0,0,0,0,0
Sargodha,Pakistan,32.083741100000005,72.67185959999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,4,0,8,1,4,10,3,2,4,16,10,26,6,4,8,9,52,125,20,12,54,42,47,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,3,0,4,1,2,2,3,1,4,4,7,8,4,4,7,7,19,16,9,9,15,15,15,9,0,0,0,0,0
Sacramento,United States,38.5815719,-121.49439960000001,0,0,0,0,0,0,0,0,3,146,226,427,419,371,504,420,513,585,610,591,641,627,614,728,972,794,1059,1299,1760,1741,2064,2144,1963,1823,2550,3178,4069,4434,5525,5319,5913,6347,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,3,74,95,157,178,170,211,200,208,230,247,262,284,269,302,335,386,328,423,452,489,570,589,574,590,587,750,959,1005,1109,1413,1428,1479,1573,815,0,0,0,0,0
Toluca,Mexico,19.2826098,-99.6556653,0,0,0,0,0,0,0,0,1,179,195,279,317,376,444,434,559,740,680,636,742,921,1193,1371,1440,1136,1344,1512,1588,1650,1731,2158,1848,2157,2470,3176,4034,3363,3933,5199,4666,5330,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,87,123,134,130,183,193,223,250,294,303,340,367,430,516,502,476,501,560,580,574,570,658,700,760,844,1152,1030,978,1091,1188,1234,1323,730,0,0,0,0,0
Shiraz,Iran,29.5917677,52.58369820000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,1,0,2,0,0,4,6,0,0,1,17,6,2,17,12,22,20,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,2,0,0,2,2,0,0,1,2,3,2,7,5,8,8,8,5,1,0,0,0,0,0
Bucharest,Romania,44.4267674,26.1025384,0,0,0,0,0,0,0,0,3,76,57,83,154,150,115,209,287,197,176,201,290,269,475,206,249,242,395,411,407,320,200,305,315,359,566,661,844,761,973,1132,1293,1433,622,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,36,42,59,64,62,96,127,80,98,98,129,123,142,104,90,105,132,138,103,113,93,127,135,153,186,233,229,237,291,352,356,385,180,0,0,0,0,0
Brazzaville,Republic of the Congo,-4.2633597000000005,15.242885300000001,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,1,6,38,12,24,34,28,72,50,40,35,27,19,117,131,145,135,131,225,321,411,378,504,448,300,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,5,7,6,11,14,15,21,18,18,11,13,10,23,38,41,46,43,65,73,64,53,84,85,64,44,0,0,0,0,0
Rabat,Morocco,33.9715904,-6.8498129,0,0,0,0,0,0,0,0,0,0,1,14,30,19,44,40,68,37,58,136,252,131,331,276,204,107,144,180,208,235,231,522,254,291,315,512,756,834,1468,1369,671,600,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,13,11,22,20,37,23,25,41,52,45,59,60,57,52,64,79,72,76,79,101,94,111,101,149,156,145,147,159,162,175,91,0,0,0,0,0
Bursa,Turkey,40.1885281,29.0609636,0,0,0,0,0,0,0,0,1,37,125,266,333,206,366,406,670,940,813,1068,1353,1186,1180,1583,1646,1489,1972,1756,2078,2371,2715,2662,3211,4199,4631,9346,10393,10627,11813,11952,14587,16473,8631,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,44,68,84,89,113,141,167,219,268,329,346,416,437,568,608,573,620,602,728,850,864,944,1045,1328,1459,2398,2428,2436,2479,3054,3572,4223,2588,0,0,0,0,0
Yogyakarta,Indonesia,-7.7955798,110.3694896,0,0,0,0,0,0,0,0,12,34,52,156,261,196,245,316,422,744,1047,1337,1495,1863,2542,3781,4195,4315,5347,7149,9264,11933,15626,14986,17313,19953,19914,28262,27513,24831,26715,26709,29231,27668,12241,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,31,81,105,94,128,158,237,323,455,644,676,804,975,1496,1630,1671,2090,2352,3043,3575,3641,4458,4994,5795,6182,9012,8168,6992,7376,7387,8083,7782,3980,0,0,0,0,0
Adana,Turkey,36.9914194,35.330828499999996,0,0,0,0,0,0,0,0,0,31,92,107,123,140,146,368,504,526,499,539,618,1124,1187,1293,1500,1549,1610,1646,2098,2807,1802,2316,3007,3263,4004,7084,7676,7349,7986,7846,9320,9437,4191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,35,40,52,64,102,140,160,166,212,262,383,382,435,496,472,464,527,633,752,538,659,849,1036,1154,1746,1774,1697,1744,2041,2325,2604,1321,0,0,0,0,0
Kunshan,China,31.385597999999998,120.980737,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,4,6,7,4,5,9,6,19,5,5,11,40,16,3,5,6,10,16,20,14,4,7,11,10,19,61,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,3,3,4,3,4,6,4,7,3,5,7,9,5,1,4,5,5,5,8,8,3,4,9,6,8,9,5,0,0,0,0,0
Cleveland,United States,41.499320000000004,-81.6943605,0,0,0,0,0,0,0,0,9,104,233,375,421,528,610,679,639,782,896,1024,1050,1171,995,1200,1050,1021,1178,1452,1798,1783,2410,2157,3005,2643,2737,3923,4796,4278,5615,5280,6577,6605,3923,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,124,194,212,216,283,344,368,439,503,513,480,494,499,574,475,454,494,673,837,825,977,905,1029,899,994,1442,1349,1311,1847,1867,2416,2477,1841,0,0,0,0,0
Huizhou,China,23.112257,114.415801,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,2,4,2,4,5,3,20,0,7,2,6,3,6,3,10,3,2,7,11,3,5,11,7,15,22,32,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,2,2,1,4,5,3,4,0,5,2,5,3,6,2,6,1,2,4,6,2,5,6,4,6,9,10,8,5,0,0,0,0,0
Vienna,Austria,48.208174299999996,16.3738189,0,0,0,0,0,0,0,0,12,337,486,550,517,502,694,770,954,1193,1094,1287,1607,1513,1286,1325,1432,1214,1511,1694,1790,2008,1759,2008,2139,2457,2640,3391,3500,2681,4306,4793,4476,5179,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,6,142,190,247,235,216,310,320,370,459,425,432,477,569,531,539,546,477,552,535,644,733,713,749,668,812,897,1069,987,852,1257,1349,1381,1539,829,0,0,0,0,0
Perth,Australia,-31.9535132,115.85704709999999,0,0,0,0,0,0,0,0,12,205,305,354,477,463,518,562,575,599,610,692,755,789,1029,972,919,657,910,730,776,1020,945,1005,1159,1172,1725,2140,1814,1714,1976,1978,2082,2092,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,126,154,200,185,201,223,230,244,247,269,299,299,356,404,345,292,325,295,316,340,361,329,393,428,497,744,658,589,679,650,686,629,368,0,0,0,0,0
Nashik,India,19.9974533,73.78980229999999,0,0,0,0,0,0,0,0,0,1,0,5,4,5,6,4,13,4,10,24,18,29,26,39,19,71,20,25,29,25,18,33,39,135,44,117,157,60,77,545,339,326,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,6,4,7,14,13,11,18,12,13,16,11,20,14,20,9,16,19,26,23,48,44,21,29,42,32,46,40,0,0,0,0,0
Barranquilla,Colombia,11.004107199999998,-74.80698129999999,0,0,0,0,0,0,0,0,4,109,127,232,195,320,374,482,541,595,1123,2363,2530,3161,3537,4966,6004,6189,6897,7340,7026,7746,7046,7444,7816,9538,11418,26906,26326,14154,17433,14885,19653,23070,12621,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,54,99,88,120,123,151,193,218,378,653,790,1008,1047,1238,1496,1584,1556,1715,1735,1790,1738,1735,2029,2172,2531,4483,4216,2466,2682,2476,2991,3603,2469,0,0,0,0,0
Peshawar,Pakistan,34.0149748,71.5804899,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,4,15,13,57,7,20,9,23,17,14,28,31,26,25,60,154,40,69,79,71,95,153,207,240,237,413,428,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,4,5,5,8,5,7,5,6,7,8,11,14,9,9,7,15,16,22,31,20,29,36,36,44,48,68,66,53,0,0,0,0,0
