feature,value,year
valmean,0.49716080318025385,2012
valmean,0.5332073957800865,2014
satmean,0.3357718606892548,2012
satmean,0.33123872145799554,2014
valstd,0.2856787081098428,2012
valstd,0.2943083819896942,2014
satstd,0.26151419351159755,2012
satstd,0.265896007320993,2014
