city,lons,lats
karachi,67.285446,25.586729
karachi,67.291359,25.593979
karachi,67.296822,25.599144
karachi,67.306328,25.605064
karachi,67.313568,25.610256
karachi,67.323784,25.618265
karachi,67.335175,25.630219
karachi,67.336029,25.633923
karachi,67.34594,25.676796
karachi,67.4038375,25.6505478
karachi,67.4193316,25.4688359
karachi,67.4004692,25.3946136
karachi,67.3519657,25.2905037
karachi,67.2751685,25.1728922
karachi,67.384975,25.1314269
karachi,67.4456043,25.0948281
karachi,67.4981498,25.0447921
karachi,67.5102756,25.0081674
karachi,67.5082547,24.9483237
karachi,67.5244225,24.8915062
karachi,67.5533898,24.8468893
karachi,67.5554108,24.7875789
karachi,67.4873712,24.7875789
karachi,67.4557092,24.8450554
karachi,67.4105741,24.8432214
karachi,67.4085531,24.7991986
karachi,67.3613969,24.8053138
karachi,67.2408119,24.7949178
karachi,67.175467,24.7814628
karachi,66.9481485,24.6008516
karachi,66.7950317,24.7131118
karachi,66.7023897,24.6897326
karachi,66.5853003,24.6897326
karachi,66.4540574,24.7528464
karachi,66.4321696,24.8190847
beijing,116.391248,40.0659631
beijing,116.401294483,40.0656473765
beijing,116.411301317,40.0647014522
beijing,116.42122901,40.0631290601
beijing,116.431038382,40.0609364058
beijing,116.440690719,40.0581321426
beijing,116.450147928,40.0547273377
beijing,116.459372687,40.0507354284
beijing,116.468328588,40.0461721688
beijing,116.476980287,40.0410555681
beijing,116.48529364,40.0354058191
beijing,116.493235838,40.0292452188
beijing,116.500775537,40.0225980804
beijing,116.50788298,40.0154906369
beijing,116.514530119,40.0079509384
beijing,116.520690719,40.0000087404
beijing,116.526340468,39.9916953872
beijing,116.531457069,39.9830436879
beijing,116.536020328,39.9740877867
beijing,116.540012238,39.9648630284
beijing,116.543417043,39.9554058191
beijing,116.546221306,39.9457534819
beijing,116.54841396,39.9359441103
beijing,116.549986352,39.9260164174
beijing,116.550932277,39.9160095831
beijing,116.551248,39.9059631
beijing,116.550932277,39.8959166169
beijing,116.549986352,39.8859097826
beijing,116.54841396,39.8759820897
beijing,116.546221306,39.8661727181
beijing,116.543417043,39.8565203809
beijing,116.540012238,39.8470631716
beijing,116.536020328,39.8378384133
beijing,116.531457069,39.8288825121
beijing,116.526340468,39.8202308128
beijing,116.520690719,39.8119174596
beijing,116.514530119,39.8039752616
beijing,116.50788298,39.7964355631
beijing,116.500775537,39.7893281196
beijing,116.493235838,39.7826809812
beijing,116.48529364,39.7765203809
beijing,116.476980287,39.7708706319
beijing,116.468328588,39.7657540312
beijing,116.459372687,39.7611907716
beijing,116.450147928,39.7571988623
beijing,116.440690719,39.7537940574
beijing,116.431038382,39.7509897942
beijing,116.42122901,39.7487971399
beijing,116.411301317,39.7472247478
beijing,116.401294483,39.7462788235
beijing,116.391248,39.7459631
beijing,116.381201517,39.7462788235
beijing,116.371194683,39.7472247478
beijing,116.36126699,39.7487971399
beijing,116.351457618,39.7509897942
beijing,116.341805281,39.7537940574
beijing,116.332348072,39.7571988623
beijing,116.323123313,39.7611907716
beijing,116.314167412,39.7657540312
beijing,116.305515713,39.7708706319
beijing,116.29720236,39.7765203809
beijing,116.289260162,39.7826809812
beijing,116.281720463,39.7893281196
beijing,116.27461302,39.7964355631
beijing,116.267965881,39.8039752616
beijing,116.261805281,39.8119174596
beijing,116.256155532,39.8202308128
beijing,116.251038931,39.8288825121
beijing,116.246475672,39.8378384133
beijing,116.242483762,39.8470631716
beijing,116.239078957,39.8565203809
beijing,116.236274694,39.8661727181
beijing,116.23408204,39.8759820897
beijing,116.232509648,39.8859097826
beijing,116.231563723,39.8959166169
beijing,116.231248,39.9059631
beijing,116.231563723,39.9160095831
beijing,116.232509648,39.9260164174
beijing,116.23408204,39.9359441103
beijing,116.236274694,39.9457534819
beijing,116.239078957,39.9554058191
beijing,116.242483762,39.9648630284
beijing,116.246475672,39.9740877867
beijing,116.251038931,39.9830436879
beijing,116.256155532,39.9916953872
beijing,116.261805281,40.0000087404
beijing,116.267965881,40.0079509384
beijing,116.27461302,40.0154906369
beijing,116.281720463,40.0225980804
beijing,116.289260162,40.0292452188
beijing,116.29720236,40.0354058191
beijing,116.305515713,40.0410555681
beijing,116.314167412,40.0461721688
beijing,116.323123313,40.0507354284
beijing,116.332348072,40.0547273377
beijing,116.341805281,40.0581321426
beijing,116.351457618,40.0609364058
beijing,116.36126699,40.0631290601
beijing,116.371194683,40.0647014522
beijing,116.381201517,40.0656473765
beijing,116.391248,40.0659631
lagos,3.3941795,6.6150575
lagos,3.40422598312,6.61474177655
lagos,3.41423281737,6.61379585221
lagos,3.42416051033,6.61222346012
lagos,3.43396988195,6.61003080578
lagos,3.4436222191,6.60722654261
lagos,3.45307942843,6.60382173774
lagos,3.46230418665,6.59982982839
lagos,3.47126008786,6.59526656881
lagos,3.4799117872,6.59014996808
lagos,3.48822514037,6.5845002191
lagos,3.49616733836,6.57833961884
lagos,3.50370703695,6.57169248039
lagos,3.51081448039,6.56458503695
lagos,3.51746161884,6.55704533836
lagos,3.5236222191,6.54910314037
lagos,3.52927196808,6.5407897872
lagos,3.53438856881,6.53213808786
lagos,3.53895182839,6.52318218665
lagos,3.54294373774,6.51395742843
lagos,3.54634854261,6.5045002191
lagos,3.54915280578,6.49484788195
lagos,3.55134546012,6.48503851033
lagos,3.55291785221,6.47511081737
lagos,3.55386377655,6.46510398312
lagos,3.5541795,6.4550575
lagos,3.55386377655,6.44501101688
lagos,3.55291785221,6.43500418263
lagos,3.55134546012,6.42507648967
lagos,3.54915280578,6.41526711805
lagos,3.54634854261,6.4056147809
lagos,3.54294373774,6.39615757157
lagos,3.53895182839,6.38693281335
lagos,3.53438856881,6.37797691214
lagos,3.52927196808,6.3693252128
lagos,3.5236222191,6.36101185963
lagos,3.51746161884,6.35306966164
lagos,3.51081448039,6.34552996305
lagos,3.50370703695,6.33842251961
lagos,3.49616733836,6.33177538116
lagos,3.48822514037,6.3256147809
lagos,3.4799117872,6.31996503192
lagos,3.47126008786,6.31484843119
lagos,3.46230418665,6.31028517161
lagos,3.45307942843,6.30629326226
lagos,3.4436222191,6.30288845739
lagos,3.43396988195,6.30008419422
lagos,3.42416051033,6.29789153988
lagos,3.41423281737,6.29631914779
lagos,3.40422598312,6.29537322345
lagos,3.3941795,6.2950575
lagos,3.38413301688,6.29537322345
lagos,3.37412618263,6.29631914779
lagos,3.36419848967,6.29789153988
